SANGER SAMPLE ID,SANGER PLATE ID,WELL,SUPPLIER SAMPLE NAME,COHORT,VOLUME (ul),CONC. (ng/ul),GENDER,COUNTRY OF ORIGIN,GEOGRAPHICAL REGION,ETHNICITY,DNA SOURCE,DATE OF SAMPLE COLLECTION (MM/YY or YYYY only),DATE OF DNA EXTRACTION (MM/YY or YYYY only),DNA EXTRACTION METHOD,SAMPLE PURIFIED?,PURIFICATION METHOD,CONCENTRATION DETERMINED BY,DNA STORAGE CONDITIONS,MOTHER (optional),FATHER (optional),SIBLING (optional),GC CONTENT,PUBLIC NAME,TAXON ID,COMMON NAME,SAMPLE DESCRIPTION,STRAIN,SAMPLE TYPE,SAMPLE ACCESSION NUMBER (optional),DONOR ID (required for EGA),PHENOTYPE (required for EGA),V33,Study ID,Lane Name,Cycles,Reads,Bases,Map Type,Reference,Reference Size,Mapper,Mapstats ID,Mapped %,Paired %,Mean Insert Size,Depth of Coverage,Depth of Coverage sd,Adapter %,Transposon %,Genome Covered,Duplication Rate,Error Rate,NPG QC,Manual QC,No. Het SNPs,% Het SNPs (Total Genome),% Het SNPs (Genome Covered),% Het SNPs (Total No. of SNPs),QC Pipeline,Mapping Pipeline,Archiving Pipeline,SNP Calling Pipeline,RNASeq Pipeline,Assembly Pipeline,Annotation Pipeline,percent_pneumo
pneuDEEP7562153,DN531997O,B1,10B02005,,97.5,89,Not Applicable,Thailand,Maela,Not applicable,NA,2010,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,10B02005,NA,NA,5000,27425_7#3,151,5426908,819463108,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266708,80.9,80.3,446.1,298.48,148,0.1,NA,90.44,7e-04,0.011,pass,pending,2533,0.11,0.13,23.1,Done,-,Done,-,-,Done,Done,90.04
pneuDEEP7562156,DN531997O,E1,08B08934,,97.5,201.8,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08934,NA,NA,5000,27425_7#8,151,5398320,815146320,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266714,86.2,85.6,436.9,316.4,155.6,0.2,NA,88.69,6e-04,0.011,pass,pending,238,0.01,0.01,2.35,Done,-,Done,-,-,Done,Done,92.05
pneuDEEP7562157,DN531997O,F1,09B01578,,97.5,141.5,Not Applicable,Thailand,Maela,Not applicable,NA,2009,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,09B01578,NA,NA,5000,27425_7#9,151,4619344,697520944,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266717,80,79.2,491.8,251.1,124.02,0.1,NA,93.86,0.001,0.012,pass,pending,8655,0.39,0.42,58.97,Done,-,Done,-,-,Done,Done,89.58
pneuDEEP7562158,DN531997O,G1,09B04375,,97.5,81.4,Not Applicable,Thailand,Maela,Not applicable,NA,2009,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,09B04375,NA,NA,5000,28653_1#1,151,6170048,931677248,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2476762,80.3,79.6,489.8,336.69,162.63,0.1,NA,89.21,7e-04,0.013,pass,pending,193,0.01,0.01,1.96,Done,-,Done,-,-,Done,Done,89.79
pneuDEEP7562160,DN531997O,A2,09B10313,,97.5,1.5,Not Applicable,Thailand,Maela,Not applicable,NA,2009,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,09B10313,NA,NA,5000,27425_7#14,151,4062122,613380422,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266723,81.8,81,462.6,225.6,108.6,0.1,NA,89.21,9e-04,0.012,pass,pending,319,0.01,0.02,3.25,Done,-,Done,-,-,Done,Done,87.66
pneuDEEP7562163,DN531997O,D2,08B04959,,97.5,211.5,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B04959,NA,NA,5000,27644_5#27,151,4570626,690164526,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2339965,71.6,71,486.7,222.54,93.54,0.1,NA,94.02,9e-04,0.013,pass,pending,9202,0.41,0.45,61.42,Done,-,Done,-,-,Done,Done,78.83
pneuDEEP7562164,DN531997O,E2,08B08943,,97.5,173.4,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08943,NA,NA,5000,27425_7#18,151,5091672,768842472,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266729,78.6,77.9,468.6,271.88,128.94,0.1,NA,87.87,9e-04,0.012,pass,pending,261,0.01,0.01,2.56,Done,-,Done,-,-,Done,Done,90.47
pneuDEEP7562165,DN531997O,F2,09B01722,,97.5,172.6,Not Applicable,Thailand,Maela,Not applicable,NA,2009,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,09B01722,NA,NA,5000,27644_5#29,151,5040794,761159894,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2339968,85.8,85.1,451.3,294.07,204.05,0.1,NA,86.48,0.0013,0.012,pass,pending,198,0.01,0.01,2.05,Done,-,Done,-,-,Done,Done,95.37
pneuDEEP7562166,DN531997O,G2,09B04419,,97.5,42.9,Not Applicable,Thailand,Maela,Not applicable,NA,2009,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,09B04419,NA,NA,5000,27425_7#20,151,4269334,644669434,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266732,75.8,75,522.6,219.84,126.24,0.1,NA,88.52,9e-04,0.012,pass,pending,157,0.01,0.01,1.59,Done,-,Done,-,-,Done,Done,88.51
pneuDEEP7562169,DN531997O,B3,09B13032,,97.5,155.1,Not Applicable,Thailand,Maela,Not applicable,NA,2009,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,09B13032,NA,NA,5000,27425_7#26,151,4434344,669585944,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266741,88.5,87.9,449,266.64,133.62,0.2,NA,88.84,8e-04,0.011,pass,pending,237,0.01,0.01,2.31,Done,-,Done,-,-,Done,Done,93.79
