lane,GPSC,theta
27859_1#189,3,0.937012
27859_1#189,62,0.000189868
27859_1#189,1,0.0199582
27859_1#189,481,0.0078307
27859_1#189,63,0.00369193
27859_1#189,248,0.0308852
27463_4#145,73,0.999913
27754_1#78,87,0.999848
28157_2#126,45,0.999925
28049_1#5,1,0.999924
28157_2#185,1,0.999923
28157_2#178,1,0.999921
27630_2#68,5,0.957695
27630_2#68,534,0.00826517
27630_2#68,180,0.0339075
28157_3#106,1,0.999939
28157_3#22,45,0.999917
27958_1#48,1,0.999918
27535_1#125,127,0.999915
27689_4#84,20,0.244186
27689_4#84,342,0.0340791
27689_4#84,37,0.682578
27689_4#84,171,0.00498556
27689_4#84,509,0.0280585
27689_4#84,110,0.0011359
27689_4#84,608,0.00474681
28157_2#151,1,0.926035
28157_2#151,28,0.0738244
27463_3#191,128,0.999935
27689_2#19,104,0.0101378
27689_2#19,118,0.989555
27958_1#88,10,0.999882
28354_1#79,10,0.999914
27859_1#64,137,0.99994
27958_1#81,69,0.945797
27958_1#81,569,0.015028
27958_1#81,28,0.0149027
27958_1#81,605,0.00496184
27958_1#81,611,0.0191531
27463_3#137,149,0.999892
27536_3#19,45,0.569109
27536_3#19,20,0.430743
28042_1#104,69,0.169875
28042_1#104,127,0.829952
27958_1#149,1,0.999876
27689_4#55,26,0.846285
27689_4#55,134,0.0338124
27689_4#55,118,0.119747
27463_4#9,25,0.00923173
27463_4#9,106,0.820164
27463_4#9,63,0.170372
27859_1#187,20,0.999925
27535_1#59,40,0.990408
27535_1#59,82,0.00947302
27463_3#177,47,0.99728
27463_3#177,318,0.0026379
27689_4#192,186,0.999898
27425_7#154,447,0.00696871
27425_7#154,320,0.992873
27689_4#171,10,0.999893
28048_1#179,87,0.999923
27754_1#104,84,0.00329151
27754_1#104,1,0.0355126
27754_1#104,60,0.533411
27754_1#104,42,0.427385
27754_1#134,10,0.999927
28157_3#137,69,0.967308
28157_3#137,91,0.0325814
27689_1#5,1,0.310666
27689_1#5,263,0.689182
27689_4#163,30,0.579261
27689_4#163,186,0.420463
28049_1#43,12,0.999801
28049_1#56,69,0.999883
27754_1#136,20,0.999936
28354_1#70,1,0.0211938
28354_1#70,38,0.941833
28354_1#70,69,0.0241262
28354_1#70,293,0.0126179
27859_1#75,32,0.872172
27859_1#75,9,0.127398
27425_7#189,47,0.999883
28049_1#105,10,0.439217
28049_1#105,45,0.552978
28049_1#105,130,0.00764084
28049_1#65,82,0.999917
28042_1#22,28,0.999893
28157_2#133,10,0.99988
28042_1#61,1,0.99992
28049_1#125,1,0.924738
28049_1#125,454,0.0751661
28157_2#18,45,0.999933
28049_1#69,45,0.999907
27463_4#190,73,0.999922
28157_3#90,1,0.999945
28042_1#47,107,0.514361
28042_1#47,28,0.485479
27644_5#147,37,0.99987
28042_1#83,45,0.307465
28042_1#83,40,0.103262
28042_1#83,82,0.589097
27425_7#143,20,0.999938
27754_1#42,20,0.922251
27754_1#42,106,0.0741612
27754_1#42,214,0.00311604
28157_3#167,10,0.999922
27463_3#34,96,0.99988
27958_1#2,20,0.999918
28157_2#59,1,0.999934
28048_1#24,69,0.999911
27463_3#29,69,0.999911
27425_7#67,106,0.999928
28157_1#55,37,0.00177666
28157_1#55,73,0.997988
28354_1#81,20,0.999937
28049_1#174,9,0.999929
27535_1#69,323,0.113521
27535_1#69,49,0.785937
27535_1#69,61,0.0125223
27535_1#69,420,0.00673839
27535_1#69,52,0.000198976
27535_1#69,337,0.00175558
27535_1#69,63,0.0652711
27535_1#69,559,0.00131889
27535_1#69,319,0.0118698
28157_1#182,20,0.999945
27463_3#49,1,0.999898
27859_1#2,1,0.94866
27859_1#2,60,0.0127722
27859_1#2,451,0.0219032
27859_1#2,397,0.0165192
28049_1#83,1,0.598743
28049_1#83,167,0.401107
27644_5#100,1,0.999933
27689_3#103,1,0.999914
28049_1#179,66,0.999924
27689_1#46,122,0.999904
28048_1#49,127,0.99989
27754_1#94,47,0.997083
27754_1#94,318,0.00278565
27689_2#23,106,0.994193
27689_2#23,107,0.00566833
27630_2#112,283,0.999905
27754_1#75,25,0.999947
28157_1#19,47,0.964634
28157_1#19,110,0.0317389
28157_1#19,611,0.00347839
28157_2#96,45,0.99994
27689_1#57,71,0.964571
27689_1#57,167,0.0352689
27644_5#36,1,0.999929
27859_1#85,73,0.961838
27859_1#85,294,0.0380708
28354_1#26,106,0.00303015
28354_1#26,534,0.00428937
28354_1#26,166,0.978836
28354_1#26,180,0.0137457
28049_1#3,25,0.71131
28049_1#3,82,0.000284742
28049_1#3,118,0.26336
28049_1#3,613,0.0248545
27754_1#99,9,0.999932
27859_1#32,87,0.999909
27689_3#51,23,0.999929
27630_2#4,30,0.999903
28157_1#70,134,0.999949
28157_2#135,1,0.999222
28157_2#135,42,0.000581823
27425_7#86,20,0.999912
27689_3#79,1,0.948779
27689_3#79,63,0.0511075
27689_4#53,20,0.00609346
27689_4#53,28,0.99374
28157_2#123,1,0.969111
28157_2#123,534,0.030773
28048_1#71,165,0.999935
28042_1#65,43,0.107822
28042_1#65,63,0.89198
27689_4#144,544,0.0040605
27689_4#144,118,0.980948
27689_4#144,606,0.000907834
27689_4#144,611,0.0139865
28157_3#8,1,0.59915
28157_3#8,69,0.40072
27689_1#174,142,0.000172226
27689_1#174,86,0.00300227
27689_1#174,350,0.00272432
27689_1#174,91,0.0691156
27689_1#174,112,0.00709102
27689_1#174,206,0.00476551
27689_1#174,257,0.0182454
27689_1#174,225,0.00107017
27689_1#174,456,0.0102753
27689_1#174,459,0.00287991
27689_1#174,184,0.00549308
27689_1#174,466,0.000112103
27689_1#174,259,0.0177102
27689_1#174,480,0.00577195
27689_1#174,196,0.0082094
27689_1#174,372,0.000367943
27689_1#174,282,0.0584883
27689_1#174,374,0.0797422
27689_1#174,486,0.00464191
27689_1#174,495,0.603198
27689_1#174,508,0.0297266
27689_1#174,530,0.00169097
27689_1#174,185,0.0158507
27689_1#174,543,0.00738303
27689_1#174,203,0.0004805
27689_1#174,564,0.00724467
27689_1#174,565,0.0334229
27689_1#174,293,0.000409235
27536_3#185,1,0.999905
28042_1#117,45,0.999904
27463_3#61,42,0.35856
27463_3#61,154,0.641303
27689_1#168,107,0.999935
27689_3#179,1,0.99994
27535_1#185,63,0.99992
27859_1#21,1,0.999927
28157_2#84,1,0.97164
28157_2#84,534,0.0282686
27536_3#125,1,0.979649
27536_3#125,87,0.0200797
27859_1#38,1,0.0472682
27859_1#38,60,0.0917803
27859_1#38,82,0.860782
27463_4#135,37,0.973734
27463_4#135,63,0.0261084
28049_1#40,10,0.664662
28049_1#40,25,0.313248
28049_1#40,28,0.0218587
27689_2#106,1,0.999923
27463_4#138,87,0.999902
27535_1#120,20,0.806112
27535_1#120,1,0.0260289
27535_1#120,166,0.167698
28157_2#90,534,0.0103341
28157_2#90,28,0.231307
28157_2#90,166,0.757245
28157_2#90,180,0.000962647
27689_1#106,118,0.271375
27689_1#106,613,0.728503
27859_1#133,47,0.9999
27535_1#7,45,0.999913
28157_1#46,23,0.999907
28157_3#147,104,0.99993
27754_1#52,1,0.999801
27689_1#162,36,0.0022138
27689_1#162,286,0.00667618
27689_1#162,554,0.00527664
27689_1#162,396,0.000692907
27689_1#162,602,0.98457
27689_4#131,69,0.689302
27689_4#131,251,0.00517766
27689_4#131,166,0.287576
27689_4#131,400,0.0178098
27463_3#74,30,0.999874
27630_2#35,20,0.999893
27689_2#27,9,0.987174
27689_2#27,490,0.0127506
28157_1#102,23,0.999921
28042_1#95,20,0.295697
28042_1#95,60,0.704213
27689_3#146,149,0.999905
27958_1#73,16,0.999925
28049_1#145,28,0.999903
27644_5#8,45,0.0891538
27644_5#8,138,0.109119
27644_5#8,203,0.801547
28048_1#156,47,0.999893
27536_3#180,20,0.984585
27536_3#180,47,0.0153123
27754_1#125,37,0.0195011
27754_1#125,82,0.980013
28048_1#104,1,0.987352
28048_1#104,264,0.0124943
28048_1#180,20,0.998591
28048_1#180,1,0.00130344
27689_3#150,1,0.679675
27689_3#150,248,0.00149935
27689_3#150,187,0.00817128
27689_3#150,215,0.310399
27535_1#43,71,0.511675
27535_1#43,28,0.488158
27859_1#174,10,0.999902
27689_2#146,1,0.989104
27689_2#146,60,0.0107353
27689_4#177,263,0.999892
27689_2#190,84,0.00315092
27689_2#190,109,0.00449617
27689_2#190,142,0.0067942
27689_2#190,321,0.00181482
27689_2#190,48,0.461148
27689_2#190,324,0.000101468
27689_2#190,224,0.000540913
27689_2#190,53,0.0167282
27689_2#190,192,0.00331096
27689_2#190,300,0.00150614
27689_2#190,359,0.0292701
27689_2#190,363,0.0207442
27689_2#190,277,0.000952037
27689_2#190,279,0.00786694
27689_2#190,194,0.00337494
27689_2#190,373,0.00130392
27689_2#190,151,0.002237
27689_2#190,138,0.0121405
27689_2#190,185,0.0030285
27689_2#190,382,0.00290139
27689_2#190,128,0.00136352
27689_2#190,311,0.000595824
27689_2#190,118,0.0675352
27689_2#190,264,0.0143488
27689_2#190,603,0.0232683
27689_2#190,66,0.0162129
27689_2#190,214,0.0126893
27689_2#190,42,0.0152113
27689_2#190,606,0.00457359
27689_2#190,611,0.047772
27689_2#190,405,0.00528826
27689_2#190,614,0.0432206
27689_2#190,615,0.106745
27689_2#190,406,0.0563782
27689_2#75,1,0.987724
27689_2#75,197,0.00119418
27689_2#75,620,0.00337415
27689_2#75,167,0.00759773
27463_4#19,47,0.99986
27958_1#77,14,0.99991
27958_1#33,20,0.921489
27958_1#33,106,0.0748022
27958_1#33,214,0.00331824
27536_3#62,48,0.0213652
27536_3#62,615,0.97842
28048_1#119,1,0.923499
28048_1#119,454,0.0764015
28157_3#39,251,0.0150089
28157_3#39,28,0.0376513
28157_3#39,293,0.947218
27535_1#174,1,0.999923
27463_4#49,30,0.799359
27463_4#49,130,0.200473
27958_1#177,47,0.00566571
27958_1#177,1,0.993489
27958_1#177,580,0.000507965
27644_5#17,10,0.00801452
27644_5#17,28,0.991759
27859_1#119,12,0.999831
27644_5#57,407,0.0329355
27644_5#57,30,0.825045
27644_5#57,513,0.0709212
27644_5#57,580,0.062179
27644_5#57,173,0.0088068
27536_3#11,25,0.282813
27536_3#11,66,0.313927
27536_3#11,87,0.403066
27859_1#66,107,0.999942
28048_1#47,1,0.902209
28048_1#47,28,0.0976578
27425_7#174,47,0.999908
28049_1#17,9,0.999888
28354_1#19,14,0.980259
28354_1#19,28,0.00265374
28354_1#19,293,0.0169553
27536_3#29,37,0.400487
27536_3#29,30,0.599287
