specnum,single,deep
08B07719,6775_2#11,27425_7#103
10B04408,7038_5#4,27425_7#105
09B00815,6755_6#13,27425_7#107
09B03815,6805_3#3,27425_7#109
09B05356,6807_2#3,27425_7#111
09B09118,6823_7#9,27425_7#112
08B03627,6631_6#11,27425_7#113
09B01878,6736_7#10,27425_7#114
08B03142,6631_4#10,27425_7#116
08B04155,6714_8#12,27425_7#118
09B10834,6823_6#5,27425_7#11
08B08281,6680_5#14,27425_7#120
09B01036,6736_4#1,27425_7#122
09B12393,6925_3#8,27425_7#126
10B00814,6983_7#58,27425_7#128
08B04237,6714_8#24,27425_7#130
10B01584,6949_2#10,27425_7#135
09B09196,6823_2#15,27425_7#136
10B01253,6938_3#25,27425_7#138
09B13494,6983_2#24,27425_7#13
10B02473,6925_7#18,27425_7#140
09B12928,6925_5#9,27425_7#148
09B10313,6938_3#23,27425_7#14
10B01621,6949_2#17,27425_7#150
10B02483,6925_7#24,27425_7#152
10B04353,7011_3#14,27425_7#154
10B06735,7054_4#23,27425_7#156
09B10870,6925_5#14,27425_7#157
09B00026,6731_6#11,27425_7#159
10B02110,6949_4#16,27425_7#15
09B10013,6899_6#22,27425_7#160
08B09849,6731_3#1,27425_7#163
10B06926,6938_3#35,27425_7#166
08B03130,6631_4#4,27425_7#168
09B05649,6807_3#15,27425_7#171
10B02705,6925_8#22,27425_7#172
09B11759,6899_5#19,27425_7#173
10B04431,7011_4#11,27425_7#174
10B03352,6972_5#6,27425_7#17
10B04952,7004_6#31,27425_7#182
10B07038,7092_6#20,27425_7#184
10B06480,7038_7#23,27425_7#187
10B03523,6938_5#7,27425_7#189
08B08943,6680_6#23,27425_7#18
10B02093,6938_3#27,27425_7#1
09B04419,6807_1#21,27425_7#20
10B03354,6972_5#7,27425_7#23
08B03674,6631_6#15,27425_7#25
09B13032,6925_5#20,27425_7#26
10B00032,6983_4#73,27425_7#29
10B02238,6925_7#1,27425_7#31
08B08985,6680_7#3,27425_7#32
10B03359,6972_5#14,27425_7#33
09B02201,6736_8#13,27425_7#34
09B04457,6753_2#8,27425_7#36
09B08207,7068_4#24,27425_7#38
10B02005,6949_4#7,27425_7#3
08B06342,6714_7#5,27425_7#40
10B00425,6983_5#17,27425_7#41
10B05671,7004_8#84,27425_7#43
08B09272,6731_1#4,27425_7#46
09B02811,6710_6#11,27425_7#48
09B12655,6925_4#12,27425_7#49
10B03241,6972_4#18,27425_7#4
09B04620,6753_2#22,27425_7#50
10B06329,7038_6#16,27425_7#51
09B08314,6840_3#15,27425_7#52
08B08945,6680_7#1,27425_7#54
09B12733,6925_6#10,27425_7#55
09B08941,6823_2#1,27425_7#56
10B01038,6983_8#80,27425_7#57
10B03755,7011_5#20,27425_7#59
09B08357,6823_6#7,27425_7#64
10B00242,6983_5#1,27425_7#66
08B05821,6730_7#14,27425_7#69
09B02868,6710_6#21,27425_7#71
10B01314,6949_1#10,27425_7#72
09B08361,6823_6#8,27425_7#73
09B14086,6983_3#63,27425_7#75
08B03575,6631_6#3,27425_7#76
08B02230,6631_1#19,27425_7#77
08B06963,6775_2#20,27425_7#79
09B03133,6753_2#12,27425_7#81
09B04979,6753_4#9,27425_7#83
08B03629,6631_6#12,27425_7#87
08B07269,6680_4#17,27425_7#89
08B08934,6680_6#22,27425_7#8
08B10523,6731_5#22,27425_7#91
09B03263,6710_8#7,27425_7#93
09B05075,6753_4#22,27425_7#95
09B06569,6805_5#11,27425_7#98
09B08412,6925_4#14,27425_7#99
09B01578,6736_5#12,27425_7#9
08B01319,6649_8#24,27463_3#102
08B01888,6630_1#17,27463_3#103
08B01711,6673_8#19,27463_3#104
08B02592,6630_3#19,27463_3#107
08B00867,6593_5#3,27463_3#109
08B01231,6649_8#13,27463_3#111
08B02593,6630_3#20,27463_3#115
08B01186,6649_8#1,27463_3#118
08B01672,6673_8#10,27463_3#119
08B01642,6673_8#6,27463_3#11
08B01902,6630_1#23,27463_3#121
08B02077,6630_2#24,27463_3#123
08B02602,6630_3#22,27463_3#125
08B01352,6680_8#4,27463_3#127
08B01390,6680_8#11,27463_3#136
08B03007,6631_3#14,27463_3#137
08B01778,6673_8#23,27463_3#138
08B02183,6631_1#13,27463_3#140
08B02541,6630_3#7,27463_3#143
08B00246,6259_6#20,27463_3#144
08B01005,6641_6#2,27463_3#146
08B02699,6630_4#7,27463_3#150
08B00263,6259_6#23,27463_3#152
08B01970,6630_2#8,27463_3#154
08B02191,6631_1#15,27463_3#156
08B02715,6630_4#11,27463_3#158
08B03307,6631_4#21,27463_3#161
08B01478,7092_6#2,27463_3#162
08B01971,6630_2#9,27463_3#164
07B00890,6259_5#20,27463_3#166
08B01483,6664_1#4,27463_3#170
08B03020,6631_3#17,27463_3#171
08B00321,6259_7#3,27463_3#179
08B00376,6259_7#12,27463_3#17
08B01118,6641_6#15,27463_3#181
08B01575,6664_1#21,27463_3#183
08B01830,6630_1#10,27463_3#185
08B02352,6631_2#10,27463_3#186
07B00918,6259_5#23,27463_3#187
10B02600,6925_8#15,27463_3#18
08B01832,6630_1#12,27463_3#191
08B00788,6593_4#13,27463_3#19
10B02401,6925_7#11,27463_3#20
10B01316,6949_1#11,27463_3#22
08B01205,6649_8#7,27463_3#23
08B00485,6259_7#18,27463_3#24
10B07040,7092_6#23,27463_3#28
08B10792,6731_6#8,27463_3#2
08B00831,6593_4#21,27463_3#34
10B03937,6938_7#2,27463_3#35
10B02812,6972_2#6,27463_3#37
09B08513,6871_2#14,27463_3#41
08B00436,6259_7#16,27463_3#42
08B00833,6593_4#22,27463_3#44
08B01226,6649_8#9,27463_3#46
08B00732,6593_4#8,27463_3#47
08B00441,6259_7#17,27463_3#48
09B09649,6823_3#22,27463_3#49
08B01046,6641_6#7,27463_3#50
08B01227,6649_8#10,27463_3#52
08B01678,6673_8#13,27463_3#54
08B00549,6259_8#3,27463_3#58
09B11360,6899_4#11,27463_3#59
08B00736,6593_4#10,27463_3#61
08B00901,6593_5#8,27463_3#64
10B04222,7011_3#4,27463_3#67
08B01683,6673_8#14,27463_3#68
09B08599,6871_2#19,27463_3#6
08B01897,6630_1#21,27463_3#70
08B00601,6259_8#11,27463_3#74
09B07041,6805_6#18,27463_3#75
08B00915,6593_5#10,27463_3#76
08B00740,6593_4#12,27463_3#81
08B02165,6631_1#9,27463_3#84
08B01185,6641_6#24,27463_3#87
08B01125,6641_6#18,27463_3#88
08B01592,6673_8#1,27463_3#89
08B01887,6630_1#16,27463_3#91
08B02009,6630_2#13,27463_3#93
07B00620,6259_5#2,27463_3#97
08B00955,6593_5#18,27463_3#98
08B00793,6593_4#16,27463_3#99
08B01197,6649_8#3,27463_3#9
08B05953,6730_7#22,27463_4#104
08B04194,6714_8#16,27463_4#119
08B06379,7092_6#12,27463_4#122
08B06649,6755_3#20,27463_4#126
08B02948,6631_3#8,27463_4#12
08B06484,6775_1#12,27463_4#134
08B04455,6730_1#20,27463_4#138
08B05173,6730_5#11,27463_4#13
08B06846,6714_7#23,27463_4#141
08B07013,6755_1#12,27463_4#145
08B06218,6730_8#22,27463_4#147
08B04695,6730_3#10,27463_4#148
08B06571,6775_1#16,27463_4#151
08B05354,6730_6#2,27463_4#152
08B07016,6755_1#13,27463_4#157
08B03251,6631_4#16,27463_4#15
08B04730,6730_3#14,27463_4#162
08B04843,6730_4#2,27463_4#176
08B06505,6714_7#12,27463_4#177
08B05033,6730_4#15,27463_4#178
08B05169,6730_5#8,27463_4#180
08B05314,6730_5#21,27463_4#181
08B06953,6755_1#4,27463_4#182
08B05171,6730_5#9,27463_4#189
08B02884,6631_3#2,27463_4#25
08B03462,6631_5#16,27463_4#30
08B05896,6755_2#7,27463_4#32
08B03892,6631_7#9,27463_4#34
08B05984,6730_7#24,27463_4#35
08B03238,6730_1#15,27463_4#3
