Sample name,Sample accession,Lane name
pneuDEEP7134756,ERS1968465,24497_7#149
pneuDEEP7134757,ERS1968466,24497_7#150
pneuDEEP7134758,ERS1968467,24497_7#151
pneuDEEP7134759,ERS1968468,24497_7#152
pneuDEEP7134760,ERS1968469,24497_7#153
pneuDEEP7134761,ERS1968470,24497_7#154
pneuDEEP7134762,ERS1968471,24497_7#155
pneuDEEP7134763,ERS1968472,24497_7#156
pneuDEEP7134764,ERS1968473,24497_7#157
pneuDEEP7134765,ERS1968474,24497_7#158
pneuDEEP7134766,ERS1968475,24497_7#159
pneuDEEP7134767,ERS1968476,24497_7#160
pneuDEEP7134768,ERS1968477,24497_7#161
pneuDEEP7134769,ERS1968478,24497_7#162
pneuDEEP7134770,ERS1968479,24497_7#163
pneuDEEP7134771,ERS1968480,24497_7#164
pneuDEEP7134772,ERS1968481,24497_7#165
pneuDEEP7134773,ERS1968482,24497_7#166
pneuDEEP7134774,ERS1968483,24497_7#167
pneuDEEP7134775,ERS1968484,24497_7#168
pneuDEEP7134776,ERS1968485,24497_7#169
pneuDEEP7134777,ERS1968486,24497_7#170
pneuDEEP7134778,ERS1968487,24497_7#171
pneuDEEP7134779,ERS1968488,24497_7#172
pneuDEEP7134780,ERS1968489,24497_7#173
pneuDEEP7134781,ERS1968490,24497_7#174
pneuDEEP7134782,ERS1968491,24497_7#175
pneuDEEP7134783,ERS1968492,24497_7#176
pneuDEEP7134784,ERS1968493,24497_7#177
pneuDEEP7134785,ERS1968494,24497_7#178
pneuDEEP7134786,ERS1968495,24497_7#179
pneuDEEP7134787,ERS1968496,24497_7#180
pneuDEEP7134788,ERS1968497,24497_7#181
pneuDEEP7134789,ERS1968498,24497_7#182
pneuDEEP7134790,ERS1968499,24497_7#183
pneuDEEP7134791,ERS1968500,24497_7#184
pneuDEEP7134792,ERS1968501,24497_7#185
pneuDEEP7134793,ERS1968502,24497_7#186
pneuDEEP7134794,ERS1968503,24497_7#187
pneuDEEP7134795,ERS1968504,24497_7#188
pneuDEEP7134796,ERS1968505,24497_7#189
pneuDEEP7134797,ERS1968506,24497_7#190
pneuDEEP7134798,ERS1968507,24497_7#191
pneuDEEP7134799,ERS1968508,24497_7#192
pneuDEEP7134800,ERS1968513,24497_7#193
pneuDEEP7134801,ERS1968514,24497_7#194
pneuDEEP7134802,ERS1968515,24497_7#195
pneuDEEP7134803,ERS1968516,24497_7#196
pneuDEEP7134804,ERS1968517,24497_7#197
pneuDEEP7134805,ERS1968518,24497_7#198
pneuDEEP7134806,ERS1968519,24497_7#199
pneuDEEP7134807,ERS1968520,24497_7#200
pneuDEEP7134808,ERS1968521,24497_7#201
pneuDEEP7134809,ERS1968522,24497_7#202
pneuDEEP7134810,ERS1968523,24497_7#203
pneuDEEP7134811,ERS1968524,24497_7#204
pneuDEEP7134812,ERS1968525,24497_7#205
pneuDEEP7134813,ERS1968526,24497_7#206
pneuDEEP7134814,ERS1968527,24497_7#207
pneuDEEP7134815,ERS1968528,24497_7#208
pneuDEEP7134816,ERS1968529,24497_7#209
pneuDEEP7134817,ERS1968530,24497_7#210
pneuDEEP7134818,ERS1968531,24497_7#211
pneuDEEP7134819,ERS1968532,24497_7#212
pneuDEEP7134820,ERS1968533,24497_7#213
pneuDEEP7134821,ERS1968534,24497_7#214
pneuDEEP7134822,ERS1968535,24497_7#215
pneuDEEP7134823,ERS1968536,24497_7#216
pneuDEEP7134824,ERS1968537,24497_7#217
pneuDEEP7134825,ERS1968538,24497_7#218
pneuDEEP7134826,ERS1968539,24497_7#219
pneuDEEP7134827,ERS1968509,24497_7#220
pneuDEEP7134828,ERS1968510,24497_7#221
pneuDEEP7134829,ERS1968511,24497_7#222
pneuDEEP7134830,ERS1968512,24497_7#223
pneuDEEP7134831,ERS1968540,24497_7#224
pneuDEEP7134832,ERS1968541,24497_7#225
pneuDEEP7134833,ERS1968542,24497_7#226
pneuDEEP7134834,ERS1968543,24497_7#227
pneuDEEP7134835,ERS1968544,24497_7#228
pneuDEEP7134836,ERS1968545,24497_7#229
pneuDEEP7134837,ERS1968546,24497_7#230
pneuDEEP7134838,ERS1968547,24497_7#231
pneuDEEP7134839,ERS1968548,24497_7#232
pneuDEEP7134840,ERS1968549,24497_7#233
pneuDEEP7134841,ERS1968550,24497_7#234
pneuDEEP7134842,ERS1968551,24497_7#235
pneuDEEP7134843,ERS1968552,24497_7#236
pneuDEEP7134844,ERS1968553,24497_7#237
pneuDEEP7134845,ERS1968554,24497_7#238
pneuDEEP7134846,ERS1968555,24497_7#239
pneuDEEP7134847,ERS1968556,24497_7#240
pneuDEEP7134848,ERS1968557,24497_7#241
pneuDEEP7134849,ERS1968558,24497_7#242
pneuDEEP7134850,ERS1968559,24497_7#243
pneuDEEP7134851,ERS1968560,24497_7#244
pneuDEEP7134852,ERS1968561,24497_7#245
pneuDEEP7134853,ERS1968562,24497_7#246
pneuDEEP7134854,ERS1968563,24497_7#247
pneuDEEP7134855,ERS1968564,24497_7#248
pneuDEEP7134856,ERS1968565,24497_7#249
pneuDEEP7134857,ERS1968566,24497_7#250
pneuDEEP7134858,ERS1968567,24497_7#251
pneuDEEP7134859,ERS1968568,24497_7#252
pneuDEEP7134860,ERS1968569,24497_7#253
pneuDEEP7134861,ERS1968570,24497_7#254
pneuDEEP7134862,ERS1968571,24497_7#255
pneuDEEP7134863,ERS1968572,24497_7#256
pneuDEEP7134864,ERS1968573,24497_7#257
pneuDEEP7134865,ERS1968574,24497_7#258
pneuDEEP7134866,ERS1968575,24497_7#259
