6805_3#5,7068_4#6,7054_6#5,7054_4#10,6983_2#9,6823_5#14,6823_7#13,6899_5#10,6938_5#12,6631_6#13,6899_6#16,6259_7#17,6805_3#19,6710_8#2,6805_2#10,6823_3#19,6823_4#21,6730_3#22,6805_2#12,6805_4#6,6938_5#15,6823_3#7,6925_8#15,6630_2#7,6736_4#1,6755_3#24,6805_6#16,6925_3#24,6736_7#2,6805_4#18,6631_5#3,6730_8#20,6805_6#23,6753_1#10,6736_8#2,6631_4#3,6631_7#14,6593_5#14,6736_6#4,6983_3#70,6925_8#24,6871_2#4,6823_4#20,6925_8#16,6630_3#17,6775_2#10,6840_3#20,6840_3#19,6631_4#2,6972_5#14,6755_5#14,6753_4#19,6925_6#7,6731_5#24,6755_4#18,6680_4#16
6805_3#5,0,9.53329334133169,9.77084583083357,9.5690861827634,6.43191361727662,7.68206358728252,9.46630673865209,8.65446910617876,9.8866226754648,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7068_4#6,9.53329334133169,0,10.1307738452308,9.92901419716039,6.79184163167366,13.4721055788842,15.2563487302542,14.4445110977807,15.6766646670666,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7054_6#5,9.77084583083357,10.1307738452308,0,6.04179164167185,7.0293941211757,13.7096580683864,15.4939012197559,14.6820635872826,15.9142171565686,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7054_4#10,9.5690861827634,9.92901419716039,6.04179164167185,0,6.82763447310553,13.5078984203159,15.2921415716859,14.4803039392122,15.7124575084984,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6983_2#9,6.43191361727662,6.79184163167366,7.0293941211757,6.82763447310553,0,10.3707258548286,12.1549690061988,11.343131373725,12.5752849430112,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_5#14,7.68206358728252,13.4721055788842,13.7096580683864,13.5078984203159,10.3707258548286,0,9.11557688462301,8.30373925214944,9.53589282143568,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_7#13,9.46630673865209,15.2563487302542,15.4939012197559,15.2921415716859,12.1549690061988,9.11557688462301,0,8.63867226554669,9.87082583483287,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6899_5#10,8.65446910617876,14.4445110977807,14.6820635872826,14.4803039392122,11.343131373725,8.30373925214944,8.63867226554669,0,4.34793041391715,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6938_5#12,9.8866226754648,15.6766646670666,15.9142171565686,15.7124575084984,12.5752849430112,9.53589282143568,9.87082583483287,4.34793041391715,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6631_6#13,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,8.88582283543288,4.77484503099369,9.11837632473503,8.97940411917612,8.34453109378128,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
