6631_5#24,6630_4#7,6736_6#22,6823_3#23,6925_7#2,6664_1#21,6649_7#4,6753_4#4,6753_2#6,6823_2#20,6938_8#13,6731_4#23,6714_7#10
6631_5#24,0,4.70625874825028,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6630_4#7,4.70625874825028,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6736_6#22,Inf,Inf,0,2.52529494101183,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_3#23,Inf,Inf,2.52529494101183,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_7#2,Inf,Inf,Inf,Inf,0,8.29534093181362,8.4819036192761,Inf,Inf,Inf,Inf,Inf,Inf
6664_1#21,Inf,Inf,Inf,Inf,8.29534093181362,0,4.38052389522082,Inf,Inf,Inf,Inf,Inf,Inf
6649_7#4,Inf,Inf,Inf,Inf,8.4819036192761,4.38052389522082,0,Inf,Inf,Inf,Inf,Inf,Inf
6753_4#4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,6.4009198160368,Inf,Inf,Inf,Inf
6753_2#6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.4009198160368,0,Inf,Inf,Inf,Inf
6823_2#20,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,6.94741051789646,Inf,Inf
6938_8#13,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.94741051789646,0,Inf,Inf
6731_4#23,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,6.62567486502704
6714_7#10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.62567486502704,0
