6710_8#12,6641_6#13,6841_7#4,6730_1#20,6805_3#16,6710_6#12,6736_6#15,7092_6#6,6631_1#20,6899_7#6,6871_1#18,6983_2#4,6710_8#15,6840_3#12,6755_4#24,6710_6#14,6730_1#23,6972_3#21,6755_5#24,6731_5#22,6710_8#14,6731_6#18,6736_6#13,6641_6#5
6710_8#12,0,4.77284543091381,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6641_6#13,4.77284543091381,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6841_7#4,Inf,Inf,0,9.8340331933612,13.2011597680464,13.6030793841232,12.98800239952,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6730_1#20,Inf,Inf,9.8340331933612,0,6.880823835233,7.28274345130972,6.66766646670671,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6805_3#16,Inf,Inf,13.2011597680464,6.880823835233,0,5.3445310937813,4.72945410917806,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6710_6#12,Inf,Inf,13.6030793841232,7.28274345130972,5.3445310937813,0,3.24015196960617,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6736_6#15,Inf,Inf,12.98800239952,6.66766646670671,4.72945410917806,3.24015196960617,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7092_6#6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,4.9826034793041,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6631_1#20,Inf,Inf,Inf,Inf,Inf,Inf,Inf,4.9826034793041,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6899_7#6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,4.25734853029386,7.90501899620069,8.41571685662861,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6871_1#18,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,4.25734853029386,0,6.91021795640869,7.42091581683661,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6983_2#4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,7.90501899620069,6.91021795640869,0,8.11197760447902,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6710_8#15,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,8.41571685662861,7.42091581683661,8.11197760447902,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6840_3#12,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,7.1767646470706,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6755_4#24,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,7.1767646470706,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6710_6#14,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,6.10537892421516,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6730_1#23,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.10537892421516,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6972_3#21,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,9.87642471505689,9.82983403319326,Inf,Inf,Inf,Inf
6755_5#24,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,9.87642471505689,0,3.59388122375525,Inf,Inf,Inf,Inf
6731_5#22,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,9.82983403319326,3.59388122375525,0,Inf,Inf,Inf,Inf
6710_8#14,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,5.24795040991799,Inf,Inf
6731_6#18,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,5.24795040991799,0,Inf,Inf
6736_6#13,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,7.07658468306338
6641_6#5,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,7.07658468306338,0
