6805_5#10,6899_6#22,7054_6#1,6731_6#9,6805_4#3,6899_6#6,6631_1#14,6731_2#22,6938_8#5,6823_2#14,6983_3#50,6823_4#11,6899_6#23,6823_6#2,6925_3#7,7054_5#19,7004_5#16,6972_3#2,6949_4#13,6925_4#24,6949_2#1,6972_2#7,6830_3#3,6753_3#22,6731_1#3,6753_3#2,6938_8#9,6736_5#17,6925_7#12
6805_5#10,0,5.61787642471506,8.61227754449105,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6899_6#22,5.61787642471506,0,6.04739052189567,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7054_6#1,8.61227754449105,6.04739052189567,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6731_6#9,Inf,Inf,Inf,0,4.70845830833826,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6805_4#3,Inf,Inf,Inf,4.70845830833826,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6899_6#6,Inf,Inf,Inf,Inf,Inf,0,4.42991401719654,7.44611077784445,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6631_1#14,Inf,Inf,Inf,Inf,Inf,4.42991401719654,0,3.01619676064792,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6731_2#22,Inf,Inf,Inf,Inf,Inf,7.44611077784445,3.01619676064792,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6938_8#5,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,11.747450509898,13.9824035192962,13.4541091781643,13.6522695460907,13.8390321935612,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_2#14,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,11.747450509898,0,8.95760847830425,8.42931413717254,8.62747450509891,8.81423715256937,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
