7054_6#10,7038_4#24,6925_6#22,6736_8#15,6710_8#17,6949_1#12,6925_6#14,6899_7#12,6710_7#24,7038_6#19,6925_6#10,6823_1#24,7038_6#9,6823_7#15,6805_5#11,6823_3#13,7004_5#8,6925_8#20,6949_1#4,7004_5#9,6775_1#2,6753_1#3,6925_5#12,6938_8#4,6925_8#6,6938_7#22,6731_2#17,6680_5#8,6830_3#20,7038_4#2,6807_2#17,6664_1#17,7092_6#8,7004_6#37,6949_3#17,6805_6#14,6807_3#21,6983_6#35,7054_6#22,6755_3#2,6949_3#23,6753_4#24,6899_5#23,6840_1#5,6755_6#10,6736_7#5,6805_5#19,6805_5#9,6730_7#15
7054_6#10,0,7.85542891421719,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7038_4#24,7.85542891421719,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_6#22,Inf,Inf,0,9.54229154169157,10.1771645670865,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6736_8#15,Inf,Inf,9.54229154169157,0,1.82663467306538,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6710_8#17,Inf,Inf,10.1771645670865,1.82663467306538,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6949_1#12,Inf,Inf,Inf,Inf,Inf,0,10.091981603679,9.62787442511479,8.88442311537693,14.3505298940213,11.68626274745,11.4709058188357,14.2169566086784,11.3131373725251,10.4133173365324,10.9696060787841,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_6#14,Inf,Inf,Inf,Inf,Inf,10.091981603679,0,3.29554089182157,8.20775844831022,13.6738652269546,11.0095980803837,10.7942411517693,13.5402919416118,10.6364727054586,9.7366526694659,10.2929414117175,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6899_7#12,Inf,Inf,Inf,Inf,Inf,9.62787442511479,3.29554089182157,0,7.74365126974592,13.2097580483904,10.5454909018194,10.3301339732052,13.0761847630472,10.1723655268944,9.27254549090171,9.82883423315323,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6710_7#24,Inf,Inf,Inf,Inf,Inf,8.88442311537693,8.20775844831022,7.74365126974592,0,9.16856628674268,6.50429914017218,6.28894221155775,9.03499300139965,7.80963807238547,6.90981803639261,7.46610677864425,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7038_6#19,Inf,Inf,Inf,Inf,Inf,14.3505298940213,13.6738652269546,13.2097580483904,9.16856628674268,0,8.05318936212766,7.83783243351339,10.5838832233552,13.2757448510298,12.3759248150369,12.9322135572884,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_6#10,Inf,Inf,Inf,Inf,Inf,11.68626274745,11.0095980803837,10.5454909018194,6.50429914017218,8.05318936212766,0,3.15716856628687,7.91961607678454,10.6114777044589,9.71165766846623,10.2679464107178,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_1#24,Inf,Inf,Inf,Inf,Inf,11.4709058188357,10.7942411517693,10.3301339732052,6.28894221155775,7.83783243351339,3.15716856628687,0,7.70425914817024,10.3961207758446,9.49630073985196,10.0525894821034,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7038_6#9,Inf,Inf,Inf,Inf,Inf,14.2169566086784,13.5402919416118,13.0761847630472,9.03499300139965,10.5838832233552,7.91961607678454,7.70425914817024,0,13.142171565687,12.242351529694,12.7986402719455,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_7#15,Inf,Inf,Inf,Inf,Inf,11.3131373725251,10.6364727054586,10.1723655268944,7.80963807238547,13.2757448510298,10.6114777044589,10.3961207758446,13.142171565687,0,5.77444511097781,6.33073385322942,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6805_5#11,Inf,Inf,Inf,Inf,Inf,10.4133173365324,9.7366526694659,9.27254549090171,6.90981803639261,12.3759248150369,9.71165766846623,9.49630073985196,12.242351529694,5.77444511097781,0,4.88142371525687,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_3#13,Inf,Inf,Inf,Inf,Inf,10.9696060787841,10.2929414117175,9.82883423315323,7.46610677864425,12.9322135572884,10.2679464107178,10.0525894821034,12.7986402719455,6.33073385322942,4.88142371525687,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7004_5#8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,12.209558088382,12.6684663067386,14.2779444111178,7.87082583483313,9.56148770245941,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_8#20,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,12.209558088382,0,5.97180563887223,7.58128374325142,7.61487702459504,9.30553889222142,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6949_1#4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,12.6684663067386,5.97180563887223,0,5.03759248150361,8.07378524295136,9.76444711057768,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7004_5#9,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,14.2779444111178,7.58128374325142,5.03759248150361,0,9.68326334733039,11.3739252149568,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6775_1#2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,7.87082583483313,7.61487702459504,8.07378524295136,9.68326334733039,0,3.46230753849241,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6753_1#3,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,9.56148770245941,9.30553889222142,9.76444711057768,11.3739252149568,3.46230753849241,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
