7038_8#43,6949_3#1,6775_1#24,6755_1#3,6899_6#15,6710_8#21,6753_4#11,6736_4#15,6830_3#13,6972_3#14,7011_3#12,6938_3#23,6925_3#22,6755_5#11,6730_6#10,6949_1#11,7038_5#15,6680_4#13,6730_4#19,6736_7#11,6710_8#19,6630_3#11,6731_2#16,6755_1#17,6714_8#16,6823_4#6,6731_1#17,6805_6#1
7038_8#43,0,9.59968006398711,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6949_3#1,9.59968006398711,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6775_1#24,Inf,Inf,0,7.127174565087,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6755_1#3,Inf,Inf,7.127174565087,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6899_6#15,Inf,Inf,Inf,Inf,0,4.8206358728254,5.71225754849042,13.3897220555888,9.46250749850012,12.0933813237353,13.0407918416316,11.0143971205757,9.22475504899016,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6710_8#21,Inf,Inf,Inf,Inf,4.8206358728254,0,4.12977404519084,11.8072385522894,7.88002399520113,10.5108978204357,11.4583083383322,9.43191361727634,7.64227154569102,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6753_4#11,Inf,Inf,Inf,Inf,5.71225754849042,4.12977404519084,0,11.0475904819034,7.12037592481513,9.75124975004976,10.6986602679464,8.67226554689049,6.88262347530499,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6736_4#15,Inf,Inf,Inf,Inf,13.3897220555888,11.8072385522894,11.0475904819034,0,13.3285342931414,15.9594081183761,16.9068186362725,14.880423915217,13.0907818436313,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6830_3#13,Inf,Inf,Inf,Inf,9.46250749850012,7.88002399520113,7.12037592481513,13.3285342931414,0,7.35352929414115,8.30093981203752,6.27454509098175,6.98920215956818,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6972_3#14,Inf,Inf,Inf,Inf,12.0933813237353,10.5108978204357,9.75124975004976,15.9594081183761,7.35352929414115,0,10.9318136372725,8.90541891621663,9.62007598480291,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
