6925_3#10,7004_6#27,6899_4#6,6710_6#2,6807_3#9,6925_6#4,7038_7#2,6899_5#11,6775_2#22,7054_5#11,7004_5#14,6949_2#19,6753_3#17,6710_8#6
6925_3#10,0,6.95660867826437,5.94761047790446,5.11037792441507,6.32333533293349,7.04619076184765,6.82323535292952,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7004_6#27,6.95660867826437,0,7.4457108578285,6.60847830433918,7.82143571285744,8.5442911417716,8.32133573285337,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6899_4#6,5.94761047790446,7.4457108578285,0,3.59828034393117,4.81123775244946,5.53409318136377,7.31233753249356,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6710_6#2,5.11037792441507,6.60847830433918,3.59828034393117,0,1.57928414317141,3.42271545690862,6.47510497900423,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6807_3#9,6.32333533293349,7.82143571285744,4.81123775244946,1.57928414317141,0,4.6356728654269,7.68806238752253,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_6#4,7.04619076184765,8.5442911417716,5.53409318136377,3.42271545690862,4.6356728654269,0,8.41091781643665,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7038_7#2,6.82323535292952,8.32133573285337,7.31233753249356,6.47510497900423,7.68806238752253,8.41091781643665,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6899_5#11,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,9.74745050989789,13.1961607678463,12.1251749650068,11.4545090981801,Inf,Inf
6775_2#22,Inf,Inf,Inf,Inf,Inf,Inf,Inf,9.74745050989789,0,7.49070185962812,9.1911617676464,8.5204959008198,Inf,Inf
7054_5#11,Inf,Inf,Inf,Inf,Inf,Inf,Inf,13.1961607678463,7.49070185962812,0,12.6398720255948,11.9692061587681,Inf,Inf
7004_5#14,Inf,Inf,Inf,Inf,Inf,Inf,Inf,12.1251749650068,9.1911617676464,12.6398720255948,0,10.8982203559286,Inf,Inf
6949_2#19,Inf,Inf,Inf,Inf,Inf,Inf,Inf,11.4545090981801,8.5204959008198,11.9692061587681,10.8982203559286,0,Inf,Inf
6753_3#17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,4.84983003399315
6710_8#6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,4.84983003399315,0
