6949_1#8,6949_3#10,6823_2#22,6925_5#16,6899_5#22,6899_4#18,6823_4#23,6899_5#6,7038_5#17,7038_5#18,6631_4#13,6736_7#23,6753_1#16,6807_3#11,6730_7#1,6925_8#17,6925_8#23,6938_7#13,6938_7#12,6755_6#4,6755_3#3,6805_7#17,6630_4#10,6983_6#48,6775_2#6,6775_2#7,6805_7#12,6710_7#12,6593_4#1,6641_6#21,6641_6#16
6949_1#8,0,13.8364327134573,12.3465306938613,18.871225754849,18.629474105179,17.4669066186762,17.484103179364,17.7208558288339,18.4203159368124,18.493701259748,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6949_3#10,13.8364327134573,0,6.25934813037405,19.6110777844426,19.3693261347727,18.2067586482699,18.223955208958,18.4607078584279,19.1601679664065,19.2335532893418,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_2#22,12.3465306938613,6.25934813037405,0,18.121175764847,17.8794241151767,16.7168566286741,16.7340531893617,16.9708058388323,17.6702659468104,17.7436512697458,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_5#16,18.871225754849,19.6110777844426,18.121175764847,0,2.7336532693462,9.53549290141955,11.7870425914816,12.0237952409516,17.5378924215156,17.611277744451,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6899_5#22,18.629474105179,19.3693261347727,17.8794241151767,2.7336532693462,0,9.2937412517495,11.5452909418116,11.7820435912816,17.2961407718454,17.3695260947808,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6899_4#18,17.4669066186762,18.2067586482699,16.7168566286741,9.53549290141955,9.2937412517495,0,10.3827234553087,10.6194761047788,16.1335732853431,16.2069586082781,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_4#23,17.484103179364,18.223955208958,16.7340531893617,11.7870425914816,11.5452909418116,10.3827234553087,0,6.24515096980605,16.1507698460308,16.224155168966,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6899_5#6,17.7208558288339,18.4607078584279,16.9708058388323,12.0237952409516,11.7820435912816,10.6194761047788,6.24515096980605,0,16.3875224955007,16.4609078184361,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7038_5#17,18.4203159368124,19.1601679664065,17.6702659468104,17.5378924215156,17.2961407718454,16.1335732853431,16.1507698460308,16.3875224955007,0,4.87362527494508,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7038_5#18,18.493701259748,19.2335532893418,17.7436512697458,17.611277744451,17.3695260947808,16.2069586082781,16.224155168966,16.4609078184361,4.87362527494508,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
