6949_1#7,6823_5#17,6823_3#15,6805_6#13,6938_5#21,6938_5#22,6680_6#14,6731_4#6,6664_1#9,6680_7#5,6753_4#9,6983_5#6,6630_3#20,6983_5#10,6823_6#15,6899_7#2,6983_8#75,6925_6#19,6925_8#5,6983_7#70,7004_8#85,6731_5#6,6736_5#3,6938_3#26,6823_6#11,6259_7#2,6259_7#22,6755_3#7,6823_6#22,6805_7#2,6730_8#6,6823_1#14,6755_5#7,6899_4#17,6972_3#24,6938_8#2,6805_7#20,6823_6#8,6823_6#7,6710_7#2,7004_5#12,6755_6#20,6807_3#2,6807_1#6,6631_6#9,6823_2#16,7092_6#11
6949_1#7,0,4.99020195960802,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_5#17,4.99020195960802,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_3#15,Inf,Inf,0,4.1653669266146,10.126574685063,10.2537492501499,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6805_6#13,Inf,Inf,4.1653669266146,0,9.63607278544291,9.76324735052981,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6938_5#21,Inf,Inf,10.126574685063,9.63607278544291,0,5.26894621075787,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6938_5#22,Inf,Inf,10.2537492501499,9.76324735052981,5.26894621075787,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6680_6#14,Inf,Inf,Inf,Inf,Inf,Inf,0,10.6680663867228,6.63867226554694,10.5258948210356,13.5596880623875,17.355528894221,8.73185362927427,22.4475104979,21.5390921815636,20.7748450309932,20.6420715856825,20.4789042191555,19.8330333933211,21.5238952209552,23.356728654269,14.6072785442909,15.9062187562483,20.3199360127974,18.4151169766043,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6731_4#6,Inf,Inf,Inf,Inf,Inf,Inf,10.6680663867228,0,5.77864427114572,11.9430113977202,14.9768046390721,18.7726454709059,10.148970205959,23.8646270745846,22.9562087582478,22.1919616076782,22.0591881623671,21.89602079584,21.250149970006,22.94101179764,24.7738452309536,16.0243951209758,17.3233353329337,21.737052589482,19.8322335532893,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6664_1#9,Inf,Inf,Inf,Inf,Inf,Inf,6.63867226554694,5.77864427114572,0,7.91361727654479,10.9474105178964,14.74325134973,6.11957608478329,19.8352329534089,18.9268146370727,18.1625674865025,18.0297940411916,17.8666266746653,17.22075584883,18.9116176764643,20.744451109778,11.9950009997998,13.2939412117575,17.7076584683062,15.8028394321133,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6680_7#5,Inf,Inf,Inf,Inf,Inf,Inf,10.5258948210356,11.9430113977202,7.91361727654479,0,10.4023195360924,14.1981603679261,5.57448510297945,23.7224555088981,22.8140371925612,22.0497900419909,21.9170165966802,21.7538492301533,21.1079784043188,22.7988402319533,24.6316736652673,15.882223555289,17.1811637672467,21.5948810237952,19.6900619876022,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6753_4#9,Inf,Inf,Inf,Inf,Inf,Inf,13.5596880623875,14.9768046390721,10.9474105178964,10.4023195360924,0,7.00159968006392,7.13617276544699,26.7562487502499,25.847830433913,25.0835832833433,24.9508098380321,24.7876424715057,24.1417716456711,25.8326334733051,27.6654669066184,18.9160167966408,20.2149570085978,24.6286742651471,22.723855228954,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6983_5#6,Inf,Inf,Inf,Inf,Inf,Inf,17.355528894221,18.7726454709059,14.74325134973,14.1981603679261,7.00159968006392,0,10.9320135972806,30.5520895820836,29.6436712657468,28.879424115177,28.7466506698658,28.5834833033393,27.9376124775042,29.6284743051387,31.4613077384518,22.7118576284741,24.0107978404313,28.4245150969803,26.5196960607876,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6630_3#20,Inf,Inf,Inf,Inf,Inf,Inf,8.73185362927427,10.148970205959,6.11957608478329,5.57448510297945,7.13617276544699,10.9320135972806,0,21.9284143171361,21.0199960007996,20.25574885023,20.1229754049189,19.9598080383919,19.3139372125577,21.0047990401916,22.8376324735046,14.088182363527,15.387122575485,19.8008398320334,17.8960207958407,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6983_5#10,Inf,Inf,Inf,Inf,Inf,Inf,22.4475104979,23.8646270745846,19.8352329534089,23.7224555088981,26.7562487502499,30.5520895820836,21.9284143171361,0,5.72745450909826,6.28854229154167,11.1987602479504,11.0355928814236,22.8840231953604,24.5748850229946,26.4077184563089,17.6582683463303,18.9572085582881,23.370925814837,21.466106778644,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_6#15,Inf,Inf,Inf,Inf,Inf,Inf,21.5390921815636,22.9562087582478,18.9268146370727,22.8140371925612,25.847830433913,29.6436712657468,21.0199960007996,5.72745450909826,0,5.38012397520478,10.2903419316136,10.1271745650869,21.9756048790237,23.6664667066584,25.4993001399716,16.7498500299938,18.0487902419515,22.4625074985001,20.5576884623069,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
