6925_5#9,6631_3#14,6631_1#18,6631_7#9,6731_4#17,6593_5#21,6631_6#20,6730_6#13,6631_5#9,6730_7#20,6641_6#2,6680_8#23,6680_8#24,6823_7#3,6736_5#24,6823_6#13,6949_4#8,6871_1#23,7004_5#19,6972_2#12,6593_5#19,6730_1#13
6925_5#9,0,10.9744051189761,10.9444111177764,12.1551689662067,14.3359328134372,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6631_3#14,10.9744051189761,0,3.85722855428907,5.06798640271938,7.24875024995004,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6631_1#18,10.9444111177764,3.85722855428907,0,3.71425714857027,5.89502099580088,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6631_7#9,12.1551689662067,5.06798640271938,3.71425714857027,0,5.86162767446515,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6731_4#17,14.3359328134372,7.24875024995004,5.89502099580088,5.86162767446515,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6593_5#21,Inf,Inf,Inf,Inf,Inf,0,4.35852829434105,5.60207958408319,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6631_6#20,Inf,Inf,Inf,Inf,Inf,4.35852829434105,0,7.10797840431916,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6730_6#13,Inf,Inf,Inf,Inf,Inf,5.60207958408319,7.10797840431916,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6631_5#9,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,6.21335732853433,5.03179364127167,6.77644471105787,6.76464707058602,10.7850429914016,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6730_7#20,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.21335732853433,0,5.9902019596081,7.73485302939421,7.72305538892232,11.7434513097379,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6641_6#2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,5.03179364127167,5.9902019596081,0,4.23175364927003,4.21995600879821,10.5618876224754,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6680_8#23,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.77644471105787,7.73485302939421,4.23175364927003,0,3.04639072185569,12.3065386922614,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6680_8#24,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.76464707058602,7.72305538892232,4.21995600879821,3.04639072185569,0,12.2947410517895,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_7#3,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,10.7850429914016,11.7434513097379,10.5618876224754,12.3065386922614,12.2947410517895,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6736_5#24,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,6.9666066786643,13.1667666466705,17.6986602679463,21.9318136372723,19.3881223755249,11.851429714057,13.5556888622274
6823_6#13,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.9666066786643,0,16.2073585282942,20.7392521495698,24.9724055188958,22.4287142571484,14.8920215956808,16.5962807438511
6949_4#8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,13.1667666466705,16.2073585282942,0,20.6330733853227,24.8662267546489,22.3225354929013,14.7858428314338,16.490101979604
6871_1#23,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,17.6986602679463,20.7392521495698,20.6330733853227,0,7.44851029794031,9.07398520295938,13.3753249350128,15.0795840831834
7004_5#19,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,21.9318136372723,24.9724055188958,24.8662267546489,7.44851029794031,0,13.3071385722854,17.6084783043391,19.3127374525093
6972_2#12,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,19.3881223755249,22.4287142571484,22.3225354929013,9.07398520295938,13.3071385722854,0,15.0647870425913,16.7690461907619
6593_5#19,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,11.851429714057,14.8920215956808,14.7858428314338,13.3753249350128,17.6084783043391,15.0647870425913,0,6.02059588082382
6730_1#13,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,13.5556888622274,16.5962807438511,16.490101979604,15.0795840831834,19.3127374525093,16.7690461907619,6.02059588082382,0
