6983_7#53,6731_2#6,6731_6#11,6736_8#12,6680_5#3,6805_7#1,6755_5#13,6730_5#20,6807_1#20,6925_4#1,6925_3#19,6925_4#4,6983_2#24,6631_5#13,6730_1#5
6983_7#53,0,9.00919816036786,10.6152769446108,10.8200359928012,10.0097980403917,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6731_2#6,9.00919816036786,0,6.22995400919814,6.43471305738857,5.62447510497905,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6731_6#11,10.6152769446108,6.22995400919814,0,5.70725854829036,4.8970205958808,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6736_8#12,10.8200359928012,6.43471305738857,5.70725854829036,0,5.10177964407115,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6680_5#3,10.0097980403917,5.62447510497905,4.8970205958808,5.10177964407115,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6805_7#1,Inf,Inf,Inf,Inf,Inf,0,5.96360727854431,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6755_5#13,Inf,Inf,Inf,Inf,Inf,5.96360727854431,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6730_5#20,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,5.59728054389122,Inf,Inf,Inf,Inf,Inf,Inf
6807_1#20,Inf,Inf,Inf,Inf,Inf,Inf,Inf,5.59728054389122,0,Inf,Inf,Inf,Inf,Inf,Inf
6925_4#1,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,8.59428114377117,Inf,Inf,Inf,Inf
6925_3#19,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,8.59428114377117,0,Inf,Inf,Inf,Inf
6925_4#4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,6.31633673265353,Inf,Inf
6983_2#24,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.31633673265353,0,Inf,Inf
6631_5#13,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,4.3033393321335
6730_1#5,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,4.3033393321335,0
