7038_4#17,6823_3#9,6823_3#8,6805_3#1,6673_8#9,6972_4#8,7092_6#2,6631_4#21,7011_6#23,7054_5#7,6731_6#20,6630_2#8,6630_2#9,6630_1#8,6630_1#7,6983_6#29,6949_1#20,6630_3#19,6755_1#7,6714_7#23
7038_4#17,0,10.5610877824434,10.3145370925814,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_3#9,10.5610877824434,0,3.61667666466704,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_3#8,10.3145370925814,3.61667666466704,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6805_3#1,Inf,Inf,Inf,0,6.80823835232957,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6673_8#9,Inf,Inf,Inf,6.80823835232957,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6972_4#8,Inf,Inf,Inf,Inf,Inf,0,9.79684063187353,10.3503299340131,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7092_6#2,Inf,Inf,Inf,Inf,Inf,9.79684063187353,0,4.69066186762637,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6631_4#21,Inf,Inf,Inf,Inf,Inf,10.3503299340131,4.69066186762637,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7011_6#23,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,7.36832633473303,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7054_5#7,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,7.36832633473303,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6731_6#20,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,6.59948010397926,6.49290141971616,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6630_2#8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.59948010397926,0,4.77844431113772,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6630_2#9,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.49290141971616,4.77844431113772,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6630_1#8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,4.09078184363116,Inf,Inf,Inf,Inf,Inf
6630_1#7,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,4.09078184363116,0,Inf,Inf,Inf,Inf,Inf
6983_6#29,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,6.57408518296348,Inf,Inf,Inf
6949_1#20,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.57408518296348,0,Inf,Inf,Inf
6630_3#19,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,6.71645670865824,6.7922415516897
6755_1#7,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.71645670865824,0,6.93761247750455
6714_7#23,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.7922415516897,6.93761247750455,0
