6631_3#10,6631_6#24,7011_4#8,6649_8#22,7038_5#20,6736_7#3,6925_4#22,6949_2#22,6925_6#2,6925_7#6,6714_8#20,6805_5#1,7054_4#16,7038_6#2,6972_4#3,6983_4#73
6631_3#10,0,3.20395920815842,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6631_6#24,3.20395920815842,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7011_4#8,Inf,Inf,0,7.17856428714263,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6649_8#22,Inf,Inf,7.17856428714263,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7038_5#20,Inf,Inf,Inf,Inf,0,8.78024395120977,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6736_7#3,Inf,Inf,Inf,Inf,8.78024395120977,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_4#22,Inf,Inf,Inf,Inf,Inf,Inf,0,4.8862227554489,6.55088982203573,12.1543691261748,11.3169366126772,10.4595080983802,14.6654669066187,14.0663867226554,6.7640471905619,4.93221355728851
6949_2#22,Inf,Inf,Inf,Inf,Inf,Inf,4.8862227554489,0,6.95480903819246,12.5582883423316,11.720855828834,10.863427314537,15.0693861227754,14.4703059388123,7.16796640671871,5.33613277344527
6925_6#2,Inf,Inf,Inf,Inf,Inf,Inf,6.55088982203573,6.95480903819246,0,11.0907818436311,10.2533493301339,9.39592081583674,13.6018796240751,13.0027994401118,5.7004599080184,7.00079984003201
6925_7#6,Inf,Inf,Inf,Inf,Inf,Inf,12.1543691261748,12.5582883423316,11.0907818436311,0,8.7178564287142,9.62167566486695,13.8276344731053,13.2285542891422,11.3039392121575,12.6042791441711
6714_8#20,Inf,Inf,Inf,Inf,Inf,Inf,11.3169366126772,11.720855828834,10.2533493301339,8.7178564287142,0,8.78424315136968,12.9902019596081,12.3911217756448,10.4665066986601,11.7668466306736
6805_5#1,Inf,Inf,Inf,Inf,Inf,Inf,10.4595080983802,10.863427314537,9.39592081583674,9.62167566486695,8.78424315136968,0,10.5462907418516,9.94721055788841,9.60907818436299,10.9094181163766
7054_4#16,Inf,Inf,Inf,Inf,Inf,Inf,14.6654669066187,15.0693861227754,13.6018796240751,13.8276344731053,12.9902019596081,10.5462907418516,0,3.78884223155365,13.8150369926015,15.1153769246149
7038_6#2,Inf,Inf,Inf,Inf,Inf,Inf,14.0663867226554,14.4703059388123,13.0027994401118,13.2285542891422,12.3911217756448,9.94721055788841,3.78884223155365,0,13.2159568086383,14.5162967406519
6972_4#3,Inf,Inf,Inf,Inf,Inf,Inf,6.7640471905619,7.16796640671871,5.7004599080184,11.3039392121575,10.4665066986601,9.60907818436299,13.8150369926015,13.2159568086383,0,7.21395720855835
6983_4#73,Inf,Inf,Inf,Inf,Inf,Inf,4.93221355728851,5.33613277344527,7.00079984003201,12.6042791441711,11.7668466306736,10.9094181163766,15.1153769246149,14.5162967406519,7.21395720855835,0
