6631_6#17,6805_4#17,6753_4#10,6805_5#5,6938_6#5,7004_6#33,6925_8#19,7038_7#10,6925_7#1,7011_4#15,6823_6#5,6736_8#10,7054_5#24,6680_7#21,6899_5#16,6899_4#15,6731_1#14,6807_3#23,6731_4#2,6807_1#16,6823_6#6,6899_4#14,6823_7#11,6630_2#2,6630_3#7,6731_3#22,6736_4#18,6753_4#16,6983_2#7,6938_6#22,6823_6#16,6938_6#11,6983_6#28,6925_7#17,6938_6#4,6899_5#9,6630_1#15,6925_5#8,6630_2#12,6755_4#10,6805_2#15,6730_3#7
6631_6#17,0,5.42111577684459,5.97540491901632,6.27054589082194,11.0567886422712,12.3153369326134,12.236152769446,12.4525094981004,9.89122175564873,10.1331733653268,8.78384323135367,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6805_4#17,5.42111577684459,0,5.77484503099394,6.06998600279951,14.1455708858229,15.4041191761648,15.3249350129973,15.5412917416516,12.9800039992001,13.2219556088783,11.8726254749051,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6753_4#10,5.97540491901632,5.77484503099394,0,6.6134773045392,14.6998600279945,15.9584083183363,15.8792241551689,16.0955808838232,13.5342931413717,13.7762447510497,12.4269146170765,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6805_5#5,6.27054589082194,6.06998600279951,6.6134773045392,0,14.9950009997998,16.2535492901421,16.1743651269747,16.3907218556289,13.8294341131774,14.0713857228556,12.7220555888822,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6938_6#5,11.0567886422712,14.1455708858229,14.6998600279945,14.9950009997998,0,9.48330333933209,9.40411917616469,9.62047590481897,9.90901819636065,12.0989802039592,10.749650069986,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7004_6#33,12.3153369326134,15.4041191761648,15.9584083183363,16.2535492901421,9.48330333933209,0,8.09958008398304,8.31593681263736,11.1675664867026,13.357528494301,12.0081983603278,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_8#19,12.236152769446,15.3249350129973,15.8792241551689,16.1743651269747,9.40411917616469,8.09958008398304,0,6.32833433313334,11.0883823235352,13.2783443311336,11.9290141971604,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7038_7#10,12.4525094981004,15.5412917416516,16.0955808838232,16.3907218556289,9.62047590481897,8.31593681263736,6.32833433313334,0,11.3047390521893,13.4947010597878,12.1453709258146,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_7#1,9.89122175564873,12.9800039992001,13.5342931413717,13.8294341131774,9.90901819636065,11.1675664867026,11.0883823235352,11.3047390521893,0,10.9334133173365,9.58408318336325,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7011_4#15,10.1331733653268,13.2219556088783,13.7762447510497,14.0713857228556,12.0989802039592,13.357528494301,13.2783443311336,13.4947010597878,10.9334133173365,0,4.63827234553087,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_6#5,8.78384323135367,11.8726254749051,12.4269146170765,12.7220555888822,10.749650069986,12.0081983603278,11.9290141971604,12.1453709258146,9.58408318336325,4.63827234553087,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6736_8#10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,4.68126374725051,6.63207358528298,8.39072185562883,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7054_5#24,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,4.68126374725051,0,11.3133373325333,13.0719856028796,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6680_7#21,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.63207358528298,11.3133373325333,0,4.64407118576275,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
