6807_1#24,6736_8#17,6805_5#12,6680_7#19,6925_8#2,6925_4#12,6972_2#13,7054_5#14,6680_8#18,6630_2#15,6949_2#24,6680_7#3,6730_5#24,6805_2#4,6925_6#5,7004_6#44,6840_1#10,6949_2#7,6755_4#5,6949_3#14,6631_7#12,6649_7#14,6949_1#9,6823_3#2,6775_2#9,6823_5#20,6730_1#7,6983_3#61,6938_5#14,7004_7#62,7038_8#27,6972_4#11,6899_5#13,6972_3#1,6949_3#2,6731_4#7,6736_5#20,6259_7#4,6736_7#21,6925_5#14,6680_4#6
6807_1#24,0,3.23195360927817,6.78444311137779,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6736_8#17,3.23195360927817,0,5.46290741851632,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6805_5#12,6.78444311137779,5.46290741851632,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6680_7#19,Inf,Inf,Inf,0,9.14657068586279,8.29274145170954,9.98200359928003,13.5760847830434,6.02979404119183,7.18236352729475,16.613277344531,12.1351729654066,10.8038392321536,16.5218956208758,19.350529894021,21.6278744251147,18.1677664467105,20.1091781643669,14.6756648670266,19.6258748250348,11.5302939412117,11.1855628874223,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_8#2,Inf,Inf,Inf,9.14657068586279,0,4.87182563487309,6.56108778244369,10.1551689662066,12.5048990201959,13.657468506299,23.088382323535,18.6102779444109,17.2789442111576,22.99700059988,25.8256348730253,28.1029794041189,24.6428714257146,26.5842831433713,21.1507698460306,26.1009798040388,18.0053989202157,17.6606678664266,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_4#12,Inf,Inf,Inf,8.29274145170954,4.87182563487309,0,3.2257548490303,6.81983603279354,11.6510697860426,12.8036392721456,22.2345530893818,17.756448710258,16.4251149770046,22.1431713657266,24.9718056388722,27.249150169966,23.7890421915616,25.7304539092181,20.296940611877,25.2471505698857,17.1515696860625,16.8068386322734,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6972_2#13,Inf,Inf,Inf,9.98200359928003,6.56108778244369,3.2257548490303,0,3.59408118376325,13.3403319336134,14.4929014197162,23.9238152369524,19.4457108578282,18.114377124575,23.8324335132969,26.6610677864427,28.9384123175366,25.4783043391322,27.4197160567886,21.9862027594478,26.9364127174561,18.8408318336332,18.4961007798439,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7054_5#14,Inf,Inf,Inf,13.5760847830434,10.1551689662066,6.81983603279354,3.59408118376325,0,16.9344131173764,18.0869826034792,27.5178964207156,23.0397920415913,21.7084583083378,27.4265146970608,30.2551489702062,32.5324935012999,29.0723855228955,31.013797240552,25.580283943211,30.5304939012197,22.4349130173961,22.090181963607,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6680_8#18,Inf,Inf,Inf,6.02979404119183,12.5048990201959,11.6510697860426,13.3403319336134,16.9344131173764,0,1.15256948610278,12.5390921815635,8.06098780243964,6.72965406918629,12.4477104579086,15.2763447310537,17.5536892621475,14.0935812837433,16.0349930013996,10.6014797040589,15.5516896620676,7.45610877824463,7.1113777244553,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6630_2#15,Inf,Inf,Inf,7.18236352729475,13.657468506299,12.8036392721456,14.4929014197162,18.0869826034792,1.15256948610278,0,13.6916616676665,9.21355728854222,7.882223555289,13.6002799440113,16.4289142171563,18.7062587482505,15.2461507698459,17.1875624875025,11.7540491901619,16.7042591481702,8.60867826434701,8.26394721055795,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6949_2#24,Inf,Inf,Inf,16.613277344531,23.088382323535,22.2345530893818,23.9238152369524,27.5178964207156,12.5390921815635,13.6916616676665,0,12.5252949410115,11.1939612077582,16.9120175964807,19.7406518696257,22.0179964007197,18.5578884223153,20.4993001399717,15.0657868426315,20.0159968006397,11.9204159168165,11.5756848630273,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6680_7#3,Inf,Inf,Inf,12.1351729654066,18.6102779444109,17.756448710258,19.4457108578282,23.0397920415913,8.06098780243964,9.21355728854222,12.5252949410115,0,2.98820235952813,12.4339132173565,15.2625474905019,17.5398920215955,14.0797840431914,16.0211957608477,10.5876824635072,15.5378924215157,7.44231153769257,7.09758048390339,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6730_5#24,Inf,Inf,Inf,10.8038392321536,17.2789442111576,16.4251149770046,18.114377124575,21.7084583083378,6.72965406918629,7.882223555289,11.1939612077582,2.98820235952813,0,11.1025794841033,13.9312137572486,16.2085582883423,12.7484503099378,14.6898620275942,9.2563487302539,14.2065586882622,6.1109778044393,5.76624675064993,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6805_2#4,Inf,Inf,Inf,16.5218956208758,22.99700059988,22.1431713657266,23.8324335132969,27.4265146970608,12.4477104579086,13.6002799440113,16.9120175964807,12.4339132173565,11.1025794841033,0,5.11977604479101,9.22875424915004,15.6102779444112,17.5516896620675,12.1181763647269,17.0683863227354,8.97280543891224,8.62807438512287,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
