6631_5#24,6630_4#7,6736_6#22,6823_3#23,6925_7#2,6664_1#21,6649_7#4,6753_4#4,6753_2#6,6823_2#20,6938_8#13,6731_4#23,6714_7#10
6631_5#24,0,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6630_4#7,0,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6736_6#22,Inf,Inf,0,0.197360527894425,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_3#23,Inf,Inf,0,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_7#2,Inf,Inf,Inf,Inf,0,0,0,Inf,Inf,Inf,Inf,Inf,Inf
6664_1#21,Inf,Inf,Inf,Inf,0,0,0,Inf,Inf,Inf,Inf,Inf,Inf
6649_7#4,Inf,Inf,Inf,Inf,0,0,0,Inf,Inf,Inf,Inf,Inf,Inf
6753_4#4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,Inf,Inf,Inf,Inf
6753_2#6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,Inf,Inf,Inf,Inf
6823_2#20,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,Inf,Inf
6938_8#13,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,Inf,Inf
6731_4#23,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0
6714_7#10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0
