6938_8#19,7054_6#2,6805_3#8,6641_6#6,6805_5#6,6807_2#15,6753_1#5,6753_2#22,6755_3#22,6649_8#14
6938_8#19,0,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7054_6#2,0,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6805_3#8,Inf,Inf,0,0,Inf,Inf,Inf,Inf,Inf,Inf
6641_6#6,Inf,Inf,0.102979404119177,0,Inf,Inf,Inf,Inf,Inf,Inf
6805_5#6,Inf,Inf,Inf,Inf,0,0,0,0,0,0
6807_2#15,Inf,Inf,Inf,Inf,0,0,0,0,0,0
6753_1#5,Inf,Inf,Inf,Inf,0,0,0,0,0,0
6753_2#22,Inf,Inf,Inf,Inf,0,0,0,0,0,0
6755_3#22,Inf,Inf,Inf,Inf,0,0,0,0,0,0
6649_8#14,Inf,Inf,Inf,Inf,0,0,0,0,0,0
