6925_3#10,7004_6#27,6899_4#6,6710_6#2,6807_3#9,6925_6#4,7038_7#2,6899_5#11,6775_2#22,7054_5#11,7004_5#14,6949_2#19,6753_3#17,6710_8#6
6925_3#10,0,0,0,0,0,0,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7004_6#27,0,0,0,0,0,0,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6899_4#6,0,0,0,0,0,0,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6710_6#2,0,0,0.0025994801039792,0,0.543091381723629,0.0999800039992011,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6807_3#9,0,0,0,0,0,0,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_6#4,0,0,0,0,0,0,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7038_7#2,0,0,0,0,0,0,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6899_5#11,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,Inf,Inf
6775_2#22,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,Inf,Inf
7054_5#11,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,Inf,Inf
7004_5#14,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,Inf,Inf
6949_2#19,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,Inf,Inf
6753_3#17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0
6710_8#6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0
