6631_3#10,6631_6#24,7011_4#8,6649_8#22,7038_5#20,6736_7#3,6925_4#22,6949_2#22,6925_6#2,6925_7#6,6714_8#20,6805_5#1,7054_4#16,7038_6#2,6972_4#3,6983_4#73
6631_3#10,0,0.000599880023995201,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6631_6#24,0,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7011_4#8,Inf,Inf,0,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6649_8#22,Inf,Inf,0,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7038_5#20,Inf,Inf,Inf,Inf,0,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6736_7#3,Inf,Inf,Inf,Inf,0,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_4#22,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,0,0,0,0,0
6949_2#22,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,0,0,0,0,0
6925_6#2,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,0,0,0,0,0
6925_7#6,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,0,0,0,0,0
6714_8#20,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,0,0,0,0,0
6805_5#1,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,0,0,0,0,0
7054_4#16,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,0,0,0,0,0
7038_6#2,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,0,0,0,0,0
6972_4#3,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,0,0,0,0,0
6983_4#73,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,0,0,0,0,0
