Isolate Name,Accession Code,Population,Year of Isolation,Serotype,Vaccine Type,ST,SequenceCluster,
SMRU6,ERR039565,Maela,2007,7B,NVT,2758,0,
SMRU7,ERR039566,Maela,2007,7B,NVT,2758,0,
SMRU14,ERR039573,Maela,2007,39,NVT,6040,0,
SMRU15,ERR039574,Maela,2007,6B,VT,DLV6704,0,
SMRU17,ERR039576,Maela,2007,48,NVT,DLV7747,0,
SMRU19,ERR039578,Maela,2007,19B,NVT,5036,0,
SMRU29,ERR039588,Maela,2007,48,NVT,DLV7747,0,
SMRU43,ERR039602,Maela,2008,13,NVT,6698,0,
SMRU63,ERR039622,Maela,2008,34,NVT,unknown,0,
SMRU73,ERR039632,Maela,2008,13,NVT,6698,0,
SMRU86,ERR039645,Maela,2008,1,NVT,217,0,
SMRU110,ERR047907,Maela,2008,21,NVT,6689,0,
SMRU117,ERR047914,Maela,2008,2,NVT,1504,0,
SMRU313,ERR048038,Maela,2008,46,NVT,989,0,
SMRU339,ERR048064,Maela,2008,1,NVT,217,0,
SMRU352,ERR048077,Maela,2008,35C,NVT,4413,0,
SMRU411,ERR048088,Maela,2008,18A,NVT,241,0,
SMRU432,ERR048109,Maela,2008,17F,NVT,5098,0,
SMRU443,ERR048120,Maela,2008,9V,VT,280,0,
SMRU456,ERR048133,Maela,2008,35C,NVT,DLV7578,0,
SMRU483,ERR048160,Maela,2008,9V,VT,280,0,
SMRU499,ERR048176,Maela,2008,18A,NVT,241,0,
SMRU512,ERR048189,Maela,2008,1,NVT,217,0,
SMRU522,ERR048199,Maela,2008,48,NVT,DLV7747,0,
SMRU528,ERR048205,Maela,2008,28F,NVT,DLV1299,0,
SMRU155,ERR049089,Maela,2008,46,NVT,989,0,
SMRU186,ERR049120,Maela,2008,4,VT,3784,0,
SMRU234,ERR049953,Maela,2008,9V,VT,280,0,
SMRU896,ERR049967,Maela,2008,21,NVT,6689,0,
SMRU928,ERR049999,Maela,2008,33F,NVT,5123,0,
SMRU976,ERR050047,Maela,2008,9V,VT,280,0,
SMRU983,ERR050054,Maela,2008,18F,NVT,6717,0,
SMRU197,ERR050060,Maela,2008,21,NVT,6689,0,
SMRU206,ERR050069,Maela,2008,46,NVT,989,0,
SMRU605,ERR051439,Maela,2008,45,NVT,5097,0,
SMRU656,ERR051466,Maela,2008,35C,NVT,DLV7578,0,
SMRU669,ERR051479,Maela,2008,18A,NVT,DLV3789,0,
SMRU674,ERR051484,Maela,2008,1,NVT,217,0,
SMRU702,ERR051512,Maela,2008,17F,NVT,5098,0,
SMRU708,ERR051518,Maela,2008,35C,NVT,7649,0,
SMRU722,ERR051532,Maela,2008,18F,NVT,6717,0,
SMRU724,ERR051534,Maela,2008,18C,VT,6717,0,
SMRU730,ERR051540,Maela,2008,35C,NVT,7649,0,
SMRU1033,ERR051579,Maela,2008,19F,VT,5106,0,
SMRU1041,ERR051587,Maela,2008,NT,NVT,6702,0,
SMRU1045,ERR051591,Maela,2008,35F,NVT,DLV2991,0,
SMRU1047,ERR051593,Maela,2008,25F,NVT,SLV352,0,
SMRU1094,ERR051640,Maela,2008,6B,VT,6704,0,
SMRU1100,ERR051646,Maela,2008,46,NVT,989,0,
SMRU243,ERR052580,Maela,2008,46,NVT,989,0,
SMRU764,ERR052621,Maela,2008,1,NVT,217,0,
SMRU1353,ERR054230,Maela,2009,35F,NVT,2991,0,
SMRU1363,ERR054240,Maela,2009,9V,VT,280,0,
SMRU1405,ERR054282,Maela,2009,3,NVT,6012,0,
SMRU1205,ERR054298,Maela,2009,35C,NVT,DLV7578,0,
SMRU1276,ERR054369,Maela,2009,6B,VT,6704,0,
SMRU1490,ERR054439,Maela,2009,12F,NVT,989,0,
SMRU1525,ERR054473,Maela,2009,7B,NVT,2758,0,
SMRU769,ERR054509,Maela,2008,21,NVT,6689,0,
SMRU774,ERR054514,Maela,2008,19F,VT,6830,0,
SMRU793,ERR054533,Maela,2008,35C,NVT,4410,0,
SMRU800,ERR054540,Maela,2008,9V,VT,280,0,
SMRU806,ERR054546,Maela,2008,13,NVT,6698,0,
SMRU815,ERR054555,Maela,2008,35C,NVT,7649,0,
SMRU882,ERR054574,Maela,2008,45,NVT,5097,0,
SMRU1157,ERR054609,Maela,2009,45,NVT,5097,0,
SMRU1174,ERR054626,Maela,2009,9V,VT,280,0,
SMRU1437,ERR056775,Maela,2009,35C,NVT,DLV7578,0,
SMRU1464,ERR056802,Maela,2009,46,NVT,989,0,
SMRU1724,ERR056870,Maela,2009,6C,NVT,DLV6769,0,
SMRU1571,ERR057769,Maela,2009,19F,VT,SLV5106,0,
SMRU1572,ERR057770,Maela,2009,19F,VT,SLV5106,0,
SMRU1592,ERR057790,Maela,2009,6A,VT,2528,0,
SMRU1597,ERR057795,Maela,2009,18C,VT,6717,0,
SMRU1869,ERR057850,Maela,2009,35C,NVT,7649,0,
SMRU1870,ERR057851,Maela,2009,18A,NVT,DLV3789,0,
SMRU1897,ERR057878,Maela,2009,6C,NVT,DLV6769,0,
SMRU1900,ERR057881,Maela,2009,33F,NVT,5123,0,
SMRU1916,ERR057897,Maela,2009,13,NVT,unknown,0,
SMRU1928,ERR057909,Maela,2009,6A,VT,DLV7671,0,
SMRU1955,ERR057936,Maela,2009,33F,NVT,5123,0,
SMRU1971,ERR057952,Maela,2009,19F,VT,3518,0,
SMRU1985,ERR057966,Maela,2009,13,NVT,unknown,0,
SMRU1771,ERR059999,Maela,2009,17F,NVT,5098,0,
SMRU1331,ERR060039,Maela,2009,46,NVT,989,0,
SMRU1339,ERR060047,Maela,2009,35B,NVT,7649,0,
SMRU1781,ERR063790,Maela,2009,6B,VT,6704,0,
SMRU2039,ERR063832,Maela,2009,36,NVT,SLV6702,0,
SMRU2084,ERR063877,Maela,2009,6C,NVT,DLV6769,0,
SMRU2163,ERR063956,Maela,2009,NT,NVT,SLV6702,0,
SMRU2205,ERR063998,Maela,2009,13,NVT,unknown,0,
SMRU2694,ERR064096,Maela,2010,NT,NVT,SLV6702,0,
SMRU2734,ERR064136,Maela,2010,33F,NVT,5123,0,
SMRU2426,ERR064164,Maela,2010,6B,VT,SLV6704,0,
SMRU2463,ERR064201,Maela,2010,18F,NVT,6717,0,
SMRU2467,ERR064205,Maela,2010,21,NVT,SLV212,0,
SMRU2664,ERR066199,Maela,2010,21,NVT,SLV212,0,
SMRU2288,ERR066255,Maela,2010,48,NVT,DLV7747,0,
SMRU2389,ERR066356,Maela,2010,6C,NVT,DLV6769,0,
SMRU2398,ERR066365,Maela,2010,6A,VT,DLV7671,0,
SMRU2613,ERR067836,Maela,2010,18A,NVT,241,0,
SMRU2876,ERR067883,Maela,2010,6C,NVT,SLV2912,0,
SMRU2837,ERR067892,Maela,2010,9V,VT,280,0,
SMRU2895,ERR067926,Maela,2010,9V,VT,280,0,
SMRU2896,ERR067927,Maela,2010,9V,VT,280,0,
SMRU2909,ERR067940,Maela,2010,33F,NVT,5123,0,
SMRU2750,ERR069600,Maela,2010,13,NVT,unknown,0,
SMRU2753,ERR069603,Maela,2010,21,NVT,SLV212,0,
SMRU2797,ERR069647,Maela,2010,4,VT,2213,0,
SMRU2827,ERR069677,Maela,2010,6B,VT,SLV6704,0,
SMRU3036,ERR072185,Maela,2010,6C,NVT,2912,0,
SMRU3075,ERR072224,Maela,2010,1,NVT,217,0,
SMRU2933,ERR084159,Maela,2010,6C,NVT,SLV2912,0,
SMRU2959,ERR084185,Maela,2010,4,VT,3784,0,
SMRU3022,ERR084248,Maela,2010,6C,NVT,SLV2912,0,
SMRU545,ERR273496,Maela,2008,38,NVT,SLV7833,0,
SMRU94,ERR039653,Maela,2008,14,VT,63,3,
SMRU270,ERR047947,Maela,2008,14,VT,63,3,
SMRU280,ERR047957,Maela,2008,14,VT,63,3,
SMRU305,ERR047982,Maela,2008,14,VT,63,3,
SMRU402,ERR048031,Maela,2008,14,VT,63,3,
SMRU408,ERR048037,Maela,2008,14,VT,63,3,
SMRU319,ERR048044,Maela,2008,14,VT,63,3,
SMRU355,ERR048080,Maela,2008,14,VT,63,3,
SMRU360,ERR048085,Maela,2008,14,VT,63,3,
SMRU413,ERR048090,Maela,2008,14,VT,63,3,
SMRU461,ERR048138,Maela,2008,14,VT,63,3,
SMRU466,ERR048143,Maela,2008,14,VT,63,3,
SMRU470,ERR048147,Maela,2008,14,VT,63,3,
SMRU471,ERR048148,Maela,2008,14,VT,63,3,
SMRU478,ERR048155,Maela,2008,14,VT,63,3,
SMRU481,ERR048158,Maela,2008,14,VT,63,3,
SMRU482,ERR048159,Maela,2008,14,VT,63,3,
SMRU147,ERR049081,Maela,2008,14,VT,63,3,
SMRU176,ERR049110,Maela,2008,14,VT,63,3,
SMRU228,ERR049947,Maela,2008,14,VT,63,3,
SMRU205,ERR050068,Maela,2008,14,VT,63,3,
SMRU579,ERR051413,Maela,2008,14,VT,63,3,
SMRU677,ERR051487,Maela,2008,14,VT,63,3,
SMRU684,ERR051494,Maela,2008,14,VT,63,3,
SMRU1106,ERR051652,Maela,2008,14,VT,63,3,
SMRU758,ERR052615,Maela,2008,14,VT,63,3,
SMRU567,ERR052640,Maela,2008,14,VT,63,3,
SMRU1386,ERR054263,Maela,2009,14,VT,2108,3,
SMRU1399,ERR054276,Maela,2009,14,VT,63,3,
SMRU1234,ERR054327,Maela,2009,14,VT,63,3,
SMRU1297,ERR054390,Maela,2009,14,VT,63,3,
SMRU1320,ERR054413,Maela,2009,15A,NVT,4899,3,
SMRU1486,ERR054435,Maela,2009,14,VT,63,3,
SMRU1517,ERR054465,Maela,2009,14,VT,63,3,
SMRU1524,ERR054472,Maela,2009,14,VT,63,3,
SMRU837,ERR056703,Maela,2008,14,VT,63,3,
SMRU1417,ERR056755,Maela,2009,14,VT,63,3,
SMRU1449,ERR056787,Maela,2009,14,VT,63,3,
SMRU1680,ERR056826,Maela,2009,14,VT,63,3,
SMRU1682,ERR056828,Maela,2009,14,VT,63,3,
SMRU1743,ERR056888,Maela,2009,14,VT,63,3,
SMRU1581,ERR057779,Maela,2009,14,VT,63,3,
SMRU1614,ERR057812,Maela,2009,14,VT,63,3,
SMRU1620,ERR057818,Maela,2009,14,VT,63,3,
SMRU1881,ERR057862,Maela,2009,14,VT,63,3,
SMRU1927,ERR057908,Maela,2009,14,VT,63,3,
SMRU1966,ERR057947,Maela,2009,14,VT,63,3,
SMRU1760,ERR059988,Maela,2009,14,VT,63,3,
SMRU1815,ERR060019,Maela,2009,14,VT,63,3,
SMRU1327,ERR060035,Maela,2009,14,VT,63,3,
SMRU1786,ERR063795,Maela,2009,19F,VT,SLV2105,3,
SMRU2512,ERR064017,Maela,2010,14,VT,63,3,
SMRU2523,ERR064028,Maela,2010,14,VT,63,3,
SMRU3150,ERR064055,Maela,2010,14,VT,2108,3,
SMRU3152,ERR064057,Maela,2010,14,VT,2108,3,
SMRU3155,ERR064060,Maela,2010,14,VT,2108,3,
SMRU3158,ERR064063,Maela,2010,14,VT,2108,3,
SMRU3159,ERR064064,Maela,2010,14,VT,2108,3,
SMRU3160,ERR064065,Maela,2010,14,VT,2108,3,
SMRU2665,ERR064067,Maela,2010,14,VT,2108,3,
SMRU2452,ERR064190,Maela,2010,14,VT,63,3,
SMRU2473,ERR064211,Maela,2010,14,VT,63,3,
SMRU2657,ERR066192,Maela,2010,14,VT,2108,3,
SMRU2289,ERR066256,Maela,2010,14,VT,2108,3,
SMRU2394,ERR066361,Maela,2010,14,VT,2108,3,
SMRU2550,ERR067773,Maela,2010,14,VT,63,3,
SMRU2555,ERR067778,Maela,2010,14,VT,2108,3,
SMRU2859,ERR067866,Maela,2010,14,VT,63,3,
