name,description,paralog
parB,chromosome partitioning proteinProbable chromosome-partitioning protein parBplasmid partitioning proteinParB/RepB/Spo0J family partition proteinParB-like nuclease domain,1
epsI,exopolysaccharide biosynthesis protein sugar transferaseHyaluronan synthaseputative glycosyl transferasePredicted glycosyl hydrolasepoly-beta-16 N-acetyl-D-glucosamine synthaseGlycosyl transferase family 2,0
group_366,transposaseTransposase and inactivated derivatives IS30 familyTransposase DDE domain,1
cpsY,transcriptional regulatorHca operon transcriptional activatorDNA-binding transcriptional regulator HcaRaminoethylphosphonate catabolism associated LysR family transcriptional regulatorBacterial regulatory helix-turn-helix protein lysR family,0
lytB_3~~~lytB_4~~~lytB_1~~~lytB_5~~~lytB_2~~~cbp11,pneumococcal surface proteinHost cell surface-exposed lipoprotein,0
group_1187,PTS system galactose-specific transporter subunit IIBPhosphotransferase system galactitol-specific IIB componentPTS system Lactose/Cellobiose specific IIB subunit,1
zmpD~~~zmpD_1~~~zmpD_2~~~zmpD_3,zinc metalloprotease ZmpDImmunoglobulin A1 protease precursorUncharacterized protein conserved in bacteriagram-positive signal peptide YSIRK familyM26 IgA1-specific Metallo-endopeptidase C-terminal region,0
group_4887,surface protein APutative endo-beta-N-acetylglucosaminidase precursorBeta- N-acetylglucosaminidaseglucan-binding repeatPutative cell wall binding repeat,0
dapB_2~~~dapB~~~dapB_1,dihydrodipicolinate reductaseDihydrodipicolinate reductasedihydrodipicolinate reductaseDihydrodipicolinate reductasedihydrodipicolinate reductaseDihydrodipicolinate reductase N-terminus,0
murE2,UDP-N-acetylmuramoylalanyl-D-glutamate--2 6-diaminopimelate ligasehypothetical proteinOrthopoxvirus protein of unknown function (DUF830),0
bag_2~~~pspC2~~~bag~~~bag_1,IgA-binding beta antigenBeta antigenRibonucleases G and ERICH domain,0
group_1961,membrane protein,1
lrp_1~~~lrp_2,collagen-binding protein ADNA mismatch repair proteinGram positive anchor,1
atpE_2~~~atpH_1~~~atpH_2,IS1239 transposaseLipid-binding proteinF0F1 ATP synthase subunit CTransposase and inactivated derivatives IS30 familyATP synthase F0 C subunitIntegrase core domain,1
group_3474,transcriptional regulatorAntitoxin PezA,0
group_2695,degenerate transposaseTransposase and inactivated derivatives,1
group_1868,lipoprotein,0
group_936,degenerate transposase (Orf1),1
uvrB_2,3-ketoacyl-ACP reductaseTc5 transposase C-terminal domain,1
IS1381truncation~~~gatC_2~~~gatC_1~~~gatC_3~~~yjjP_2~~~yjjP_1~~~IS1381truncation_1~~~infB_1,mobile genetic elementTransposase and inactivated derivatives,1
fhs_2~~~fhs_1~~~~~~fhs,formate-tetrahydrofolate ligaseFormate--tetrahydrofolate ligaseformate--tetrahydrofolate ligaseFormate--tetrahydrofolate ligase,1
group_2697,transposase-like protein ISSpn_AP200_1,1
hsdS_3~~~hsdS_1~~~~~~hsdS~~~glnA_1~~~hsdS_2,type I restriction enzymeType I restriction enzyme EcoKI specificity proteinEcoKI restriction-modification system protein HsdSType I restriction modification DNA specificity domain,1
infB~~~infB_1~~~infB_2,translation initiation factor IF-2Translation initiation factor IF-2translation initiation factor IF-2EMAP domaintranslation initiation factor IF-2Translation-initiation factor 2,1
lptB_2~~~lptB_1~~~ecfA2_1~~~ecsA_4~~~ecsA_3,ABC transporter ATP-binding proteinABC-type transporter ATP-binding protein EcsAcytochrome c biogenesis protein CcmAABC-type uncharacterized transport system ATPase componentgliding motility-associated ABC transporter ATP-binding subunit GldAABC transporter,1
group_43,excreted peptide,1
wefE,glycosyltransferasebeta-16-galactofuranosyltransferase,0
hyaD_4~~~hyaD_2~~~kfoC_2,cell wall biosynthesis glycosyltransferaseHyaluronan synthaseputative glycosyl transferasePredicted glycosyl hydrolasepoly-beta-16 N-acetyl-D-glucosamine synthaseGlycosyl transferase family 2,0
group_1639,Tn5253 hypothetical protein,1
group_3836,fructose-6-phosphate aldolaseFructose-6-phosphate aldolase 1fructose-6-phosphate aldolaseTransaldolasefructose-6-phosphate aldolaseTransaldolase,1
lytB_2~~~~~~cbpA~~~lytA_8~~~pspA~~~lytA_1~~~lytB_1~~~lytA_3~~~lytA_5~~~lytA_2~~~lytA_4~~~lytA_6~~~lytB_3~~~pspC2~~~lytB_4~~~bag~~~cbpA_1~~~lytB_5~~~pspC~~~cbpA_2~~~pspA_1~~~toxA~~~cbp2_2~~~toxB~~~pspC_1~~~pspA_2~~~lytB_6~~~bag_1~~~lytA_7,Pneumococcal surface protein AAutolysinBeta- N-acetylglucosaminidaseglucan-binding repeatPutative cell wall binding repeat,1
group_2451,IS1239 transposase putativeTransposase and inactivated derivatives IS30 familyIntegrase core domain,1
pezT_4~~~pezA_1~~~pezA_3~~~pezT_2~~~pezA_2~~~nanA_2~~~~~~pezA_4~~~hlyB_3~~~lagD_3~~~hlyB_2~~~lagD_1~~~lagD_2~~~lagD_4~~~hlyB_1,N-acetylneuraminate lyaseN-acetylneuraminate lyaseN-acetylneuraminate lyaseN-acetylneuraminate lyaseDihydrodipicolinate synthetase family,0
rggD_1~~~rggD~~~rggD_2,transcriptional regulators MutR familyHelix-turn-helix domain,0
group_3544,phage proteinTerminase small subunit,0
cbpJ_4~~~cbpJ_1~~~toxA_2~~~toxA_3~~~~~~toxA_1~~~toxA~~~lytA_5~~~lytA_4~~~lytA_3,choline binding protein FToxin Aglucan-binding repeatPutative cell wall binding repeat,1
paiA,acetyltransferase GNAT familyProtease synthase and sporulation negative regulatory protein PAI 1Predicted acetyltransferaseribosomal-protein-alanine acetyltransferaseAcetyltransferase (GNAT) family,1
group_1768,phage protein point mutation,1
group_1337,transposase ISSmi4Transposase and inactivated derivativesTransposase IS66 family,1
dus_1~~~~~~dus_2~~~dus,NifR3 family TIM-barrel proteinProbable tRNA-dihydrouridine synthasetRNA-dihydrouridine synthase BtRNA-dihydrouridine synthaseputative TIM-barrel protein nifR3 familyDihydrouridine synthase (Dus),1
ribH_2~~~ribH,67-dimethyl-8-ribityllumazine synthase67-dimethyl-8-ribityllumazine synthase67-dimethyl-8-ribityllumazine synthase67-dimethyl-8-ribityllumazine synthase67-dimethyl-8-ribityllumazine synthase,1
group_2983,putative surface anchored protein (pseudogene)Gram positive anchor,1
group_2932,uridine kinaseUridine kinaseuridine/cytidine kinaseuridine kinasePhosphoribulokinase / Uridine kinase family,1
